script,font_1,font_2,cosine_similarity,cosine_distance
Bengali,Atma-Bold,HindSiliguri-Medium,0.9035,0.0965
Bengali,HindSiliguri-SemiBold,"NotoSerifBengali[wdth,wght]",0.9035,0.0965
Bengali,Atma-Bold,Mina-Regular,0.9034,0.0966
Bengali,Atma-SemiBold,HindSiliguri-Medium,0.9033,0.0967
Bengali,Alkatra[wght],Mina-Bold,0.9033,0.0967
Bengali,Alkatra[wght],HindSiliguri-Medium,0.9032,0.0968
Bengali,Atma-Bold,Lohit-Bengali,0.9028,0.0972
Bengali,BalooDa2[wght],"NotoSansBengali[wdth,wght]",0.9022,0.0978
Bengali,Atma-SemiBold,Lohit-Bengali,0.9019,0.0981
Bengali,HindSiliguri-Regular,"NotoSansBengaliUI[wdth,wght]",0.9018,0.0982
Bengali,HindSiliguri-Medium,"NotoSansBengaliUI[wdth,wght]",0.9003,0.0997
Bengali,Atma-Medium,TiroBangla-Italic,0.8996,0.1004
Bengali,Alkatra[wght],TiroBangla-Italic,0.8995,0.1005
Bengali,Alkatra[wght],Lohit-Bengali,0.899,0.101
Bengali,Atma-Bold,Mina-Bold,0.8981,0.1019
Bengali,Atma-Bold,HindSiliguri-Regular,0.898,0.102
Bengali,BalooDa2[wght],TiroBangla-Regular,0.8975,0.1025
Bengali,Atma-SemiBold,Galada-Regular,0.8975,0.1025
Bengali,Atma-Regular,Atma-SemiBold,0.8969,0.1031
Bengali,Lohit-Bengali,"NotoSansBengaliUI[wdth,wght]",0.8969,0.1031
Bengali,BalooDa2[wght],HindSiliguri-Bold,0.8959,0.1041
Bengali,Alkatra[wght],Mina-Regular,0.8955,0.1045
Bengali,Atma-SemiBold,TiroBangla-Regular,0.895,0.105
Bengali,BalooDa2[wght],TiroBangla-Italic,0.8945,0.1055
Bengali,Alkatra[wght],HindSiliguri-Light,0.8938,0.1062
Bengali,Mina-Regular,"NotoSansBengali[wdth,wght]",0.8917,0.1083
Bengali,Atma-SemiBold,HindSiliguri-Bold,0.8897,0.1103
Bengali,HindSiliguri-Regular,"NotoSansBengali[wdth,wght]",0.8896,0.1104
Bengali,Atma-Medium,Lohit-Bengali,0.8891,0.1109
Bengali,Atma-Bold,Galada-Regular,0.8888,0.1112
Bengali,HindSiliguri-Light,TiroBangla-Italic,0.8884,0.1116
Bengali,TiroBangla-Italic,TiroBangla-Regular,0.8882,0.1118
Bengali,HindSiliguri-Medium,"NotoSansBengali[wdth,wght]",0.888,0.112
Bengali,Atma-Medium,HindSiliguri-Regular,0.888,0.112
Bengali,Atma-Medium,TiroBangla-Regular,0.8873,0.1127
Bengali,Atma-SemiBold,TiroBangla-Italic,0.8865,0.1135
Bengali,Alkatra[wght],HindSiliguri-SemiBold,0.886,0.114
Bengali,Mina-Bold,"NotoSansBengali[wdth,wght]",0.8848,0.1152
Bengali,HindSiliguri-Bold,"NotoSerifBengali[wdth,wght]",0.8848,0.1152
Bengali,Atma-Medium,Mina-Regular,0.8845,0.1155
Bengali,"AnekBangla[wdth,wght]","NotoSerifBengali[wdth,wght]",0.8841,0.1159
Bengali,Lohit-Bengali,"NotoSansBengali[wdth,wght]",0.8834,0.1166
Bengali,Atma-Bold,"NotoSerifBengali[wdth,wght]",0.8834,0.1166
Bengali,HindSiliguri-Light,"NotoSansBengaliUI[wdth,wght]",0.8826,0.1174
Bengali,Atma-SemiBold,Mina-Bold,0.8824,0.1176
Bengali,HindSiliguri-SemiBold,"NotoSansBengaliUI[wdth,wght]",0.8818,0.1182
Bengali,HindSiliguri-Light,TiroBangla-Regular,0.8813,0.1187
Bengali,Alkatra[wght],HindSiliguri-Bold,0.8812,0.1188
Bengali,"AnekBangla[wdth,wght]","NotoSansBengaliUI[wdth,wght]",0.8811,0.1189
Bengali,Atma-Medium,HindSiliguri-Medium,0.8802,0.1198
Bengali,HindSiliguri-Regular,TiroBangla-Italic,0.8796,0.1204
Bengali,Galada-Regular,HindSiliguri-Light,0.8779,0.1221
Bengali,Galada-Regular,HindSiliguri-SemiBold,0.8769,0.1231
Bengali,HindSiliguri-Bold,"NotoSansBengaliUI[wdth,wght]",0.8766,0.1234
Bengali,Mina-Bold,TiroBangla-Regular,0.8765,0.1235
Bengali,HindSiliguri-Regular,TiroBangla-Regular,0.8764,0.1236
Bengali,Galada-Regular,HindSiliguri-Medium,0.8763,0.1237
Bengali,Mina-Regular,TiroBangla-Italic,0.8758,0.1242
Bengali,Atma-Bold,TiroBangla-Regular,0.8756,0.1244
Bengali,Galada-Regular,Lohit-Bengali,0.8752,0.1248
Bengali,HindSiliguri-Light,"NotoSansBengali[wdth,wght]",0.874,0.126
Bengali,HindSiliguri-Medium,TiroBangla-Italic,0.8735,0.1265
Bengali,HindSiliguri-Medium,TiroBangla-Regular,0.8733,0.1267
Bengali,Atma-Medium,HindSiliguri-SemiBold,0.8732,0.1268
Bengali,Atma-Regular,"NotoSerifBengali[wdth,wght]",0.8716,0.1284
Bengali,Galada-Regular,HindSiliguri-Regular,0.8715,0.1285
Bengali,Alkatra[wght],"NotoSerifBengali[wdth,wght]",0.8715,0.1285
Bengali,Alkatra[wght],"NotoSansBengaliUI[wdth,wght]",0.8697,0.1303
Bengali,Alkatra[wght],Galada-Regular,0.8685,0.1315
Bengali,Galada-Regular,HindSiliguri-Bold,0.8685,0.1315
