script,font_1,font_2,cosine_similarity,cosine_distance
Katakana,MPLUS1p-Medium,BIZUDGothic-Bold,0.9766,0.0234
Katakana,MPLUS1p-Medium,RoundedMplus1c-Bold,0.9766,0.0234
Katakana,IBMPlexSansJP-SemiBold,MPLUS1p-Medium,0.9765,0.0235
Katakana,ShipporiMincho-Regular,ShipporiMincho-ExtraBold,0.9764,0.0236
Katakana,IBMPlexSansJP-SemiBold,MPLUS1p-Bold,0.9763,0.0237
Katakana,RoundedMplus1c-Regular,RoundedMplus1c-Bold,0.9762,0.0238
Katakana,MPLUSRounded1c-Regular,RoundedMplus1c-Bold,0.9762,0.0238
Katakana,IBMPlexSansJP-Regular,BIZUDGothic-Bold,0.9762,0.0238
Katakana,IBMPlexSansJP-SemiBold,ChocolateClassicalSans-Regular,0.9758,0.0242
Katakana,ShipporiMinchoB1-SemiBold,ZenOldMincho-Black,0.9756,0.0244
Katakana,ZenOldMincho-Black,KaiseiTokumin-Regular,0.9755,0.0245
Katakana,ShipporiMinchoB1-SemiBold,KaiseiTokumin-Regular,0.9751,0.0249
Katakana,Murecho[wght],MPLUS1[wght],0.9751,0.0249
Katakana,ShipporiMincho-ExtraBold,KaiseiTokumin-Regular,0.975,0.025
Katakana,BpmfIansui-Regular,BpmfZihiKaiStd-Regular,0.9749,0.0251
Katakana,MPLUS1p-Bold,BIZUDGothic-Bold,0.9747,0.0253
Katakana,LINESeedJP-Bold,LINESeedJP-Regular,0.9746,0.0254
Katakana,MPLUSRounded1c-Thin,MPLUSRounded1c-Light,0.9745,0.0255
Katakana,MPLUSRounded1c-Thin,RoundedMplus1c-Light,0.9745,0.0255
Katakana,RoundedMplus1c-ExtraBold,MPLUS1p-Black,0.9744,0.0256
Katakana,ShipporiMincho-Regular,ZenOldMincho-Medium,0.9742,0.0258
Katakana,ChocolateClassicalSans-Regular,LINESeedJP-Regular,0.9741,0.0259
Katakana,IBMPlexSansJP-Bold,LINESeedJP-ExtraBold,0.9741,0.0259
Katakana,TsukimiRounded-Medium,TsukimiRounded-Light,0.9733,0.0267
Katakana,ShipporiMinchoB1-SemiBold,ShipporiAntiqueB1-Regular,0.9732,0.0268
Katakana,JejuMyeongjo-Regular,BatangChe-Regular,0.9727,0.0273
Katakana,ShipporiMinchoB1-SemiBold,ZenAntique-Regular,0.9727,0.0273
Katakana,ZenKakuGothicAntique-Medium,GothicA1-Bold,0.9726,0.0274
Katakana,LINESeedJP-Bold,MPLUS1p-Medium,0.9726,0.0274
Katakana,IBMPlexSansJP-SemiBold,LINESeedJP-Regular,0.9725,0.0275
Katakana,IBMPlexSansJP-Regular,IBMPlexSansJP-Bold,0.9725,0.0275
Katakana,KoPubBatang-Light,JejuMyeongjo-Regular,0.9724,0.0276
Katakana,MPLUS1p-Medium,MPLUSRounded1c-Regular,0.9722,0.0278
Katakana,MPLUS1p-Medium,RoundedMplus1c-Regular,0.9722,0.0278
Katakana,ZenAntique-Regular,KaiseiTokumin-Regular,0.9718,0.0282
Katakana,ShipporiAntiqueB1-Regular,ZenOldMincho-Medium,0.9716,0.0284
Katakana,MPLUS1p-Medium,RoundedMplus1c-ExtraBold,0.9708,0.0292
Katakana,ShipporiMinchoB1-SemiBold,ZenOldMincho-Medium,0.9708,0.0292
Katakana,ChocolateClassicalSans-Regular,GothicA1-Bold,0.9705,0.0295
Katakana,IBMPlexSansJP-SemiBold,BIZUDPGothic-Regular,0.9702,0.0298
Katakana,LINESeedJP-ExtraBold,MPLUS1p-Bold,0.9699,0.0301
Katakana,ChocolateClassicalSans-Regular,IBMPlexSansJP-Bold,0.9698,0.0302
Katakana,LINESeedJP-Regular,BIZUDPGothic-Regular,0.9698,0.0302
Katakana,MPLUSRounded1c-Thin,MPLUS1[wght],0.9693,0.0307
Katakana,MPLUS1p-Medium,LINESeedJP-Regular,0.9693,0.0307
Katakana,LINESeedJP-Regular,BIZUDGothic-Bold,0.9693,0.0307
Katakana,ChocolateClassicalSans-Regular,TrainOne-Regular,0.9693,0.0307
Katakana,LINESeedJP-Bold,MPLUS1p-Black,0.9689,0.0311
Katakana,IBMPlexSansJP-Bold,MPLUS1p-Black,0.9687,0.0313
Katakana,ShipporiMincho-Regular,KaiseiTokumin-Regular,0.9687,0.0313
Katakana,LINESeedJP-Bold,BIZUDGothic-Bold,0.9686,0.0314
Katakana,GothicA1-Regular,ZenKakuGothicNew-Medium,0.9684,0.0316
Katakana,ShipporiMincho-Regular,ZenOldMincho-Black,0.9684,0.0316
Katakana,IBMPlexSansJP-Regular,MPLUS1p-Medium,0.9682,0.0318
Katakana,ZenOldMincho-Medium,KaiseiTokumin-Regular,0.968,0.032
Katakana,RoundedMplus1c-Bold,BIZUDGothic-Bold,0.9679,0.0321
Katakana,KiwiMaru-Light,ZenMaruGothic-Regular,0.9678,0.0322
Katakana,RocknRollOne-Regular,BIZUDGothic-Bold,0.9678,0.0322
Katakana,IBMPlexSansJP-SemiBold,LINESeedJP-ExtraBold,0.9678,0.0322
Katakana,ZenOldMincho-Black,NotoSerifJP[wght],0.9675,0.0325
Katakana,NotoSerifKR[wght],ZenOldMincho-Black,0.9675,0.0325
Katakana,ZenOldMincho-Black,NotoSerifHK[wght],0.9675,0.0325
Katakana,RoundedMplus1c-ExtraBold,IBMPlexSansJP-Bold,0.9674,0.0326
Katakana,RoundedMplus1c-ExtraBold,LINESeedJP-ExtraBold,0.9674,0.0326
Katakana,ShipporiMinchoB1-SemiBold,NotoSerifJP[wght],0.9674,0.0326
Katakana,IBMPlexSansJP-SemiBold,TrainOne-Regular,0.9674,0.0326
Katakana,ZenAntique-Regular,ShipporiMincho-Regular,0.9674,0.0326
Katakana,ShipporiMinchoB1-SemiBold,NotoSerifHK[wght],0.9674,0.0326
Katakana,ShipporiMinchoB1-SemiBold,NotoSerifKR[wght],0.9674,0.0326
Katakana,ZenKakuGothicAntique-Medium,GothicA1-Regular,0.9673,0.0327
Katakana,MPLUS1p-Medium,MPLUS1p-Black,0.9672,0.0328
Katakana,RocknRollOne-Regular,ChocolateClassicalSans-Regular,0.9672,0.0328
Katakana,KiwiMaru-Regular,ZenMaruGothic-Regular,0.9665,0.0335
Katakana,ShipporiMincho-Regular,ShipporiAntiqueB1-Regular,0.9664,0.0336
Katakana,IBMPlexSansJP-Bold,RoundedMplus1c-Bold,0.9664,0.0336
Katakana,ShipporiMincho-ExtraBold,ZenOldMincho-Medium,0.966,0.034
Katakana,LINESeedJP-Regular,IBMPlexSansJP-Bold,0.966,0.034
Katakana,LINESeedJP-Bold,RoundedMplus1c-ExtraBold,0.9659,0.0341
Katakana,KiwiMaru-Medium,ZenMaruGothic-Bold,0.9658,0.0342
Katakana,ChocolateClassicalSans-Regular,NotoSansJP[wght],0.9656,0.0344
Katakana,NotoSansTC[wght],ChocolateClassicalSans-Regular,0.9656,0.0344
Katakana,NotoSansSC[wght],ChocolateClassicalSans-Regular,0.9656,0.0344
Katakana,LINESeedJP-Bold,IBMPlexSansJP-Regular,0.9655,0.0345
Katakana,MPLUSRounded1c-Regular,BIZUDPGothic-Regular,0.9655,0.0345
Katakana,MPLUS1p-Medium,BIZUDPGothic-Regular,0.9655,0.0345
Katakana,RoundedMplus1c-Regular,BIZUDPGothic-Regular,0.9655,0.0345
Katakana,KleeOne-Regular,ZenKurenaido-Regular,0.9654,0.0346
Katakana,TrainOne-Regular,BIZUDGothic-Bold,0.9653,0.0347
Katakana,KiwiMaru-Medium,ZenMaruGothic-Regular,0.9653,0.0347
Katakana,LINESeedJP-Bold,TrainOne-Regular,0.9651,0.0349
Katakana,IBMPlexSansJP-Bold,BIZUDPGothic-Regular,0.9647,0.0353
Katakana,BIZUDMincho-Regular,BIZUDPMincho-Bold,0.9647,0.0353
Katakana,LINESeedJP-Bold,ChocolateClassicalSans-Regular,0.9646,0.0354
Katakana,KleeOne-SemiBold,ZenOldMincho-Medium,0.9644,0.0356
Katakana,BIZUDMincho-Regular,NotoSerifHK[wght],0.9642,0.0358
Katakana,NotoSerifKR[wght],BIZUDMincho-Regular,0.9642,0.0358
Katakana,BIZUDMincho-Regular,NotoSerifJP[wght],0.9642,0.0358
Katakana,LXGWWenKaiTC-Light,ZenKurenaido-Regular,0.9641,0.0359
Katakana,Dotum-Regular,GothicA1-ExtraLight,0.9641,0.0359
Katakana,ZenKurenaido-Regular,LXGWWenKaiMonoTC-Light,0.9641,0.0359
Katakana,DotumChe-Regular,GothicA1-ExtraLight,0.9641,0.0359
Katakana,RocknRollOne-Regular,RoundedMplus1c-Bold,0.964,0.036
Katakana,IBMPlexSansJP-SemiBold,RocknRollOne-Regular,0.964,0.036
Katakana,ZenOldMincho-Medium,BatangChe-Regular,0.9639,0.0361
Katakana,KoPubBatang-Light,ZenOldMincho-Medium,0.9638,0.0362
Katakana,ShipporiMincho-ExtraBold,NotoSerifJP[wght],0.9638,0.0362
Katakana,NotoSerifKR[wght],ShipporiMincho-ExtraBold,0.9638,0.0362
Katakana,ShipporiMincho-ExtraBold,NotoSerifHK[wght],0.9638,0.0362
Katakana,RoundedMplus1c-Regular,BIZUDGothic-Bold,0.9634,0.0366
Katakana,GothicA1-Regular,NanumGothicCoding-Regular,0.9634,0.0366
Katakana,MPLUSRounded1c-Regular,BIZUDGothic-Bold,0.9634,0.0366
Katakana,KaiseiOpti-Regular,KaiseiDecol-Bold,0.9633,0.0367
Katakana,NotoSansTC[wght],IBMPlexSansJP-Regular,0.9633,0.0367
Katakana,NotoSansSC[wght],IBMPlexSansJP-Regular,0.9633,0.0367
Katakana,IBMPlexSansJP-Regular,NotoSansJP[wght],0.9633,0.0367
Katakana,ZenKakuGothicNew-Medium,GothicA1-Bold,0.9633,0.0367
Katakana,ShipporiMincho-Regular,NotoSerifJP[wght],0.9632,0.0368
Katakana,Dotum-Regular,NanumGothicCoding-Regular,0.9632,0.0368
Katakana,DotumChe-Regular,NanumGothicCoding-Regular,0.9632,0.0368
Katakana,IBMPlexSansJP-SemiBold,RoundedMplus1c-Bold,0.9632,0.0368
Katakana,ShipporiMincho-Regular,NotoSerifHK[wght],0.9632,0.0368
Katakana,LINESeedJP-Bold,RoundedMplus1c-Bold,0.9632,0.0368
Katakana,NotoSerifKR[wght],ShipporiMincho-Regular,0.9632,0.0368
Katakana,NotoSansSC[wght],BIZUDPGothic-Regular,0.963,0.037
Katakana,NotoSansTC[wght],BIZUDPGothic-Regular,0.963,0.037
Katakana,NotoSansJP[wght],BIZUDPGothic-Regular,0.963,0.037
Katakana,ZenOldMincho-Medium,NotoSerifJP[wght],0.9629,0.0371
Katakana,ZenOldMincho-Medium,NotoSerifHK[wght],0.9629,0.0371
Katakana,ShipporiMincho-Regular,KleeOne-SemiBold,0.9629,0.0371
Katakana,NotoSerifKR[wght],ZenOldMincho-Medium,0.9629,0.0371
Katakana,IBMPlexSansJP-Bold,TrainOne-Regular,0.9628,0.0372
Katakana,LINESeedJP-Regular,TrainOne-Regular,0.9627,0.0373
Katakana,GothicA1-ExtraLight,Gulim-Regular,0.9625,0.0375
Katakana,GothicA1-ExtraLight,GulimChe-Regular,0.9625,0.0375
Katakana,DotumChe-Regular,GothicA1-Light,0.9624,0.0376
Katakana,Dotum-Regular,GothicA1-Light,0.9624,0.0376
Katakana,ZenKakuGothicAntique-Medium,IBMPlexSansJP-Regular,0.9624,0.0376
Katakana,IBMPlexSansJP-Regular,TrainOne-Regular,0.9624,0.0376
Katakana,ChocolateClassicalSans-Regular,ZenKakuGothicNew-Medium,0.9622,0.0378
Katakana,ZenKakuGothicNew-Medium,GothicA1-Light,0.9621,0.0379
Katakana,IBMPlexSansJP-Regular,GothicA1-Bold,0.962,0.038
Katakana,KoPubBatang-Light,ShipporiAntiqueB1-Regular,0.9619,0.0381
Katakana,ZenAntique-Regular,KoPubBatang-Light,0.9618,0.0382
Katakana,LINESeedJP-Regular,MPLUS1p-Bold,0.9617,0.0383
Katakana,ChocolateClassicalSans-Regular,ChironGoRoundTC[wght],0.9613,0.0387
Katakana,RocknRollOne-Regular,IBMPlexSansJP-Bold,0.9613,0.0387
Katakana,Murecho[wght],RoundedMplus1c-Light,0.9611,0.0389
Katakana,Murecho[wght],MPLUSRounded1c-Light,0.9611,0.0389
Katakana,TsukimiRounded-Light,NewTegomin-Regular,0.961,0.039
Katakana,KleeOne-SemiBold,ZenKurenaido-Regular,0.9609,0.0391
Katakana,RocknRollOne-Regular,BIZUDPGothic-Regular,0.9609,0.0391
Katakana,KaiseiOpti-Medium,KaiseiDecol-Bold,0.9609,0.0391
Katakana,IBMPlexSansJP-SemiBold,GothicA1-Bold,0.9609,0.0391
Katakana,ShipporiAntiqueB1-Regular,KaiseiTokumin-Regular,0.9607,0.0393
Katakana,KoPubBatang-Light,ZenOldMincho-Black,0.9607,0.0393
Katakana,IBMPlexSansJP-Regular,MPLUSRounded1c-Regular,0.9607,0.0393
Katakana,IBMPlexSansJP-Regular,RoundedMplus1c-Regular,0.9607,0.0393
Katakana,TrainOne-Regular,BIZUDPGothic-Regular,0.9605,0.0395
