script,font_1,font_2,cosine_similarity,cosine_distance
Cyrillic,PT_Serif-Web-Italic,"SourceSerif4-Italic[opsz,wght]",0.9776,0.0224
Cyrillic,Sansation-Light,Manrope[wght],0.9774,0.0226
Cyrillic,NanumGothicCoding-Regular,Manrope[wght],0.9772,0.0228
Cyrillic,SpectralSC-SemiBoldItalic,"SourceSerif4-Italic[opsz,wght]",0.9772,0.0228
Cyrillic,Tinos-BoldItalic,"SourceSerif4-Italic[opsz,wght]",0.9771,0.0229
Cyrillic,SpectralSC-SemiBoldItalic,Tinos-BoldItalic,0.9766,0.0234
Cyrillic,NotoSansTC[wght],ZenKakuGothicAntique-Regular,0.9764,0.0236
Cyrillic,KaiseiOpti-Bold,ZenOldMincho-Black,0.9764,0.0236
Cyrillic,"NunitoSans[YTLC,opsz,wdth,wght]",Sansation-Light,0.9762,0.0238
Cyrillic,MPLUS1p-Bold,FiraSansCondensed-Black,0.9762,0.0238
Cyrillic,KaiseiTokumin-Regular,BIZUDPMincho-Regular,0.9761,0.0239
Cyrillic,"NotoSansMono[wdth,wght]",FiraSansExtraCondensed-Medium,0.9759,0.0241
Cyrillic,SpectralSC-ExtraLight,Batang-Regular,0.9757,0.0243
Cyrillic,ZenOldMincho-Medium,KaiseiTokumin-ExtraBold,0.9756,0.0244
Cyrillic,BIZUDPMincho-Regular,ZenOldMincho-Black,0.9755,0.0245
Cyrillic,Ubuntu-Light,"TikTokSans[opsz,slnt,wdth,wght]",0.9755,0.0245
Cyrillic,AlegreyaSans-ExtraBoldItalic,AlegreyaSans-ExtraBold,0.9751,0.0249
Cyrillic,MPLUS1p-Bold,GothicA1-Black,0.975,0.025
Cyrillic,Arsenal-Italic,AlegreyaSans-Italic,0.9749,0.0251
Cyrillic,BellotaText-LightItalic,Rubik-Italic[wght],0.9748,0.0252
Cyrillic,FiraSans-ExtraLightItalic,FiraSansCondensed-ThinItalic,0.9744,0.0256
Cyrillic,RocknRollOne-Regular,MPLUS1p-Bold,0.9742,0.0258
Cyrillic,NanumGothicCoding-Regular,Sansation-Light,0.9741,0.0259
Cyrillic,KaiseiOpti-Bold,ZenOldMincho-Medium,0.9741,0.0259
