script,font_1,font_2,cosine_similarity,cosine_distance
Tamil,HindMadurai-Regular,KarlaTamilUpright-Bold,0.9706,0.0294
Tamil,MuktaMalar-ExtraLight,MuktaMalar-Medium,0.9705,0.0295
Tamil,MuktaMalar-Bold,"NotoSansTamilUI[wdth,wght]",0.9705,0.0295
Tamil,HindMadurai-Medium,"NotoSansTamil[wdth,wght]",0.9702,0.0298
Tamil,MuktaMalar-SemiBold,"NotoSansTamilUI[wdth,wght]",0.9701,0.0299
Tamil,KarlaTamilInclined-Regular,MuktaMalar-SemiBold,0.97,0.03
Tamil,HindMadurai-Regular,"NotoSansTamil[wdth,wght]",0.97,0.03
Tamil,Catamaran[wght],MuktaMalar-Medium,0.97,0.03
Tamil,HindMadurai-Light,HindMadurai-SemiBold,0.9698,0.0302
Tamil,KarlaTamilUpright-Regular,MuktaMalar-Regular,0.9695,0.0305
Tamil,HindMadurai-Medium,"NotoSerifTamil[wdth,wght]",0.9693,0.0307
Tamil,Arima[wght],Pavanam-Regular,0.9693,0.0307
Tamil,KarlaTamilUpright-Bold,MuktaMalar-Medium,0.9692,0.0308
Tamil,KarlaTamilUpright-Regular,TiroTamil-Regular,0.9692,0.0308
Tamil,KarlaTamilInclined-Bold,MuktaMalar-Medium,0.969,0.031
Tamil,HindMadurai-Regular,"NotoSansTamilUI[wdth,wght]",0.9689,0.0311
Tamil,MuktaMalar-ExtraBold,MuktaMalar-Regular,0.9688,0.0312
Tamil,HindMadurai-Medium,TiroTamil-Regular,0.9688,0.0312
Tamil,"AnekTamil[wdth,wght]",HindMadurai-Light,0.9684,0.0316
Tamil,KarlaTamilUpright-Bold,"NotoSansTamilUI[wdth,wght]",0.9681,0.0319
Tamil,Lohit-Tamil,MuktaMalar-SemiBold,0.9681,0.0319
Tamil,KarlaTamilInclined-Regular,Lohit-Tamil,0.9677,0.0323
Tamil,HindMadurai-Medium,KarlaTamilUpright-Bold,0.9676,0.0324
Tamil,KarlaTamilUpright-Bold,"NotoSansTamil[wdth,wght]",0.9673,0.0327
Tamil,Catamaran[wght],HindMadurai-Light,0.9671,0.0329
Tamil,BalooThambi2[wght],HindMadurai-Medium,0.967,0.033
Tamil,KarlaTamilInclined-Regular,MuktaMalar-Regular,0.9669,0.0331
Tamil,KarlaTamilUpright-Regular,"NotoSerifTamil[wdth,wght]",0.9666,0.0334
Tamil,"AnekTamil[wdth,wght]",HindMadurai-Bold,0.9666,0.0334
Tamil,KarlaTamilInclined-Regular,MuktaMalar-Light,0.9666,0.0334
Tamil,KarlaTamilUpright-Regular,MuktaMalar-Light,0.9665,0.0335
Tamil,KarlaTamilUpright-Regular,Lohit-Tamil,0.9662,0.0338
Tamil,HindMadurai-SemiBold,"NotoSansTamilUI[wdth,wght]",0.966,0.034
Tamil,HindMadurai-Medium,KarlaTamilUpright-Regular,0.9658,0.0342
Tamil,BalooThambi2[wght],KarlaTamilUpright-Regular,0.9657,0.0343
Tamil,HindMadurai-Light,"NotoSansTamil[wdth,wght]",0.9656,0.0344
Tamil,HindMadurai-Light,"NotoSansTamilUI[wdth,wght]",0.9652,0.0348
Tamil,BalooThambi2[wght],"NotoSansTamilUI[wdth,wght]",0.9652,0.0348
Tamil,MuktaMalar-Medium,"NotoSansTamil[wdth,wght]",0.9652,0.0348
Tamil,HindMadurai-SemiBold,TiroTamil-Regular,0.9651,0.0349
Tamil,Catamaran[wght],KarlaTamilUpright-Regular,0.9649,0.0351
Tamil,BalooThambi2[wght],"NotoSansTamil[wdth,wght]",0.9648,0.0352
Tamil,HindMadurai-SemiBold,"NotoSansTamil[wdth,wght]",0.9647,0.0353
Tamil,HindMadurai-SemiBold,"NotoSerifTamil[wdth,wght]",0.9643,0.0357
Tamil,HindMadurai-SemiBold,KarlaTamilUpright-Bold,0.9641,0.0359
Tamil,HindMadurai-Regular,"NotoSerifTamil[wdth,wght]",0.9637,0.0363
Tamil,HindMadurai-Regular,TiroTamil-Regular,0.9636,0.0364
Tamil,HindMadurai-Light,KarlaTamilUpright-Bold,0.9635,0.0365
Tamil,"AnekTamil[wdth,wght]","NotoSansTamil[wdth,wght]",0.9632,0.0368
Tamil,KarlaTamilInclined-Bold,MuktaMalar-Regular,0.9631,0.0369
Tamil,Catamaran[wght],MuktaMalar-SemiBold,0.963,0.037
Tamil,"AnekTamil[wdth,wght]","NotoSansTamilUI[wdth,wght]",0.9627,0.0373
Tamil,HindMadurai-Light,TiroTamil-Regular,0.9627,0.0373
Tamil,BalooThambi2[wght],Catamaran[wght],0.9625,0.0375
Tamil,KarlaTamilInclined-Regular,KarlaTamilUpright-Bold,0.9624,0.0376
Tamil,MuktaMalar-Medium,"NotoSansTamilUI[wdth,wght]",0.9623,0.0377
Tamil,MuktaMalar-Bold,MuktaMalar-Light,0.9616,0.0384
Tamil,HindMadurai-Regular,MuktaMalar-ExtraBold,0.9616,0.0384
Tamil,HindMadurai-Regular,MuktaMalar-SemiBold,0.9615,0.0385
Tamil,KarlaTamilUpright-Bold,TiroTamil-Regular,0.9614,0.0386
Tamil,"AnekTamil[wdth,wght]",KarlaTamilUpright-Regular,0.9612,0.0388
Tamil,HindMadurai-Bold,KarlaTamilUpright-Bold,0.9611,0.0389
Tamil,HindMadurai-Regular,MuktaMalar-Bold,0.9609,0.0391
Tamil,HindMadurai-Light,"NotoSerifTamil[wdth,wght]",0.9607,0.0393
Tamil,"AnekTamil[wdth,wght]","NotoSerifTamil[wdth,wght]",0.9607,0.0393
Tamil,KarlaTamilInclined-Regular,MuktaMalar-Bold,0.9604,0.0396
Tamil,KarlaTamilUpright-Bold,MuktaMalar-Regular,0.9604,0.0396
Tamil,Catamaran[wght],"NotoSansTamil[wdth,wght]",0.9603,0.0397
Tamil,KarlaTamilInclined-Bold,Lohit-Tamil,0.9599,0.0401
Tamil,Arima[wght],Lohit-Tamil,0.9599,0.0401
Tamil,"AnekTamil[wdth,wght]",TiroTamil-Regular,0.9597,0.0403
Tamil,MuktaMalar-ExtraBold,TiroTamil-Regular,0.9592,0.0408
Tamil,MuktaMalar-SemiBold,Pavanam-Regular,0.9592,0.0408
Tamil,KarlaTamilInclined-Regular,MuktaMalar-ExtraLight,0.9592,0.0408
Tamil,Arima[wght],MuktaMalar-Regular,0.9589,0.0411
Tamil,BalooThambi2[wght],KarlaTamilUpright-Bold,0.9586,0.0414
Tamil,KarlaTamilUpright-Bold,"NotoSerifTamil[wdth,wght]",0.9586,0.0414
Tamil,BalooThambi2[wght],MuktaMalar-Bold,0.9586,0.0414
Tamil,MuktaMalar-ExtraBold,"NotoSerifTamil[wdth,wght]",0.9585,0.0415
Tamil,Catamaran[wght],KarlaTamilInclined-Regular,0.9584,0.0416
Tamil,BalooThambi2[wght],MuktaMalar-SemiBold,0.9584,0.0416
Tamil,HindMadurai-Bold,TiroTamil-Regular,0.9583,0.0417
Tamil,HindMadurai-Bold,"NotoSansTamilUI[wdth,wght]",0.9582,0.0418
Tamil,HindMadurai-Medium,MuktaMalar-ExtraBold,0.9581,0.0419
Tamil,BalooThambi2[wght],"NotoSerifTamil[wdth,wght]",0.9581,0.0419
Tamil,BalooThambi2[wght],MuktaMalar-Medium,0.958,0.042
Tamil,BalooThambi2[wght],MuktaMalar-ExtraBold,0.9579,0.0421
Tamil,HindMadurai-Bold,"NotoSerifTamil[wdth,wght]",0.9575,0.0425
Tamil,BalooThambi2[wght],HindMadurai-SemiBold,0.9574,0.0426
Tamil,HindMadurai-Light,MuktaMalar-Medium,0.9574,0.0426
Tamil,"NotoSerifTamil-Italic[wdth,wght]","NotoSerifTamil[wdth,wght]",0.9573,0.0427
Tamil,HindMadurai-Bold,"NotoSansTamil[wdth,wght]",0.9572,0.0428
Tamil,"NotoSerifTamil-Italic[wdth,wght]",TiroTamil-Regular,0.9572,0.0428
Tamil,MuktaMalar-Bold,TiroTamil-Regular,0.9571,0.0429
Tamil,Catamaran[wght],"NotoSansTamilUI[wdth,wght]",0.9571,0.0429
Tamil,Lohit-Tamil,MuktaMalar-Bold,0.9571,0.0429
Tamil,"NotoSansTamilUI[wdth,wght]","NotoSerifTamil-Italic[wdth,wght]",0.9571,0.0429
Tamil,HindMadurai-Light,MuktaMalar-Light,0.9569,0.0431
Tamil,MuktaMalar-Bold,"NotoSerifTamil[wdth,wght]",0.9568,0.0432
Tamil,HindMadurai-SemiBold,KarlaTamilUpright-Regular,0.9567,0.0433
Tamil,"AnekTamil[wdth,wght]",KarlaTamilUpright-Bold,0.9566,0.0434
Tamil,KarlaTamilInclined-Regular,MuktaMalar-ExtraBold,0.9565,0.0435
