script,font_1,font_2,cosine_similarity,cosine_distance
Telugu,Ramaraja-Regular,SreeKrushnadevaraya-Regular,0.9454,0.0546
Telugu,BalooTammudu2[wght],HindGuntur-Light,0.9453,0.0547
Telugu,Peddana-Regular,SreeKrushnadevaraya-Regular,0.945,0.055
Telugu,Ponnala-Regular,Timmana-Regular,0.9446,0.0554
Telugu,"AnekTelugu[wdth,wght]",NotoSerifTelugu[wght],0.9437,0.0563
Telugu,"NotoSansTelugu[wdth,wght]",TiroTelugu-Italic,0.9435,0.0565
Telugu,SreeKrushnadevaraya-Regular,Timmana-Regular,0.9427,0.0573
Telugu,HindGuntur-SemiBold,NotoSerifTelugu[wght],0.9408,0.0592
Telugu,Mallanna-Regular,NATS-Regular,0.94,0.06
Telugu,HindGuntur-Bold,HindGuntur-Light,0.9398,0.0602
Telugu,Gurajada-Regular,Suravaram-Regular,0.9355,0.0645
Telugu,Gidugu-Regular,Gurajada-Regular,0.9348,0.0652
Telugu,AkayaTelivigala-Regular,NTR-Regular,0.9339,0.0661
Telugu,Dhurjati-Regular,NATS-Regular,0.9307,0.0693
Telugu,Gidugu-Regular,Suranna-Regular,0.9306,0.0694
Telugu,NotoSerifTelugu[wght],Peddana-Regular,0.9305,0.0695
Telugu,Dhurjati-Regular,Gidugu-Regular,0.9303,0.0697
Telugu,"AnekTelugu[wdth,wght]",TiroTelugu-Italic,0.9303,0.0697
Telugu,HindGuntur-Medium,TiroTelugu-Italic,0.9302,0.0698
Telugu,Mandali-Regular,NotoSerifTelugu[wght],0.9297,0.0703
Telugu,Peddana-Regular,Timmana-Regular,0.9287,0.0713
Telugu,Dhurjati-Regular,Ramabhadra-Regular,0.9285,0.0715
Telugu,Gurajada-Regular,Ramabhadra-Regular,0.9281,0.0719
Telugu,Ramabhadra-Regular,Suranna-Regular,0.928,0.072
Telugu,Peddana-Regular,Ponnala-Regular,0.9269,0.0731
Telugu,Mandali-Regular,Ponnala-Regular,0.9269,0.0731
Telugu,HindGuntur-SemiBold,TiroTelugu-Italic,0.9261,0.0739
Telugu,HindGuntur-Light,TiroTelugu-Italic,0.9254,0.0746
Telugu,HindGuntur-Regular,TiroTelugu-Italic,0.9251,0.0749
Telugu,RaviPrakash-Regular,Sirivennela-Regular,0.9251,0.0749
Telugu,LakkiReddy-Regular,Ponnala-Regular,0.924,0.076
Telugu,Peddana-Regular,TiroTelugu-Regular,0.9238,0.0762
Telugu,NotoSerifTelugu[wght],TiroTelugu-Italic,0.9234,0.0766
Telugu,Ramaraja-Regular,Timmana-Regular,0.923,0.077
Telugu,NATS-Regular,RaviPrakash-Regular,0.9224,0.0776
Telugu,Gurajada-Regular,Mallanna-Regular,0.9219,0.0781
Telugu,Dhurjati-Regular,Mallanna-Regular,0.9217,0.0783
Telugu,HindGuntur-Bold,NotoSerifTelugu[wght],0.9215,0.0785
Telugu,NotoSerifTelugu[wght],TenaliRamakrishna-Regular,0.9214,0.0786
Telugu,Ramabhadra-Regular,RaviPrakash-Regular,0.9211,0.0789
Telugu,Ponnala-Regular,Ramaraja-Regular,0.9207,0.0793
Telugu,Ramabhadra-Regular,Sirivennela-Regular,0.9205,0.0795
Telugu,Mandali-Regular,Suranna-Regular,0.9197,0.0803
Telugu,NotoSerifTelugu[wght],Ramaraja-Regular,0.9192,0.0808
Telugu,Mallanna-Regular,RaviPrakash-Regular,0.9186,0.0814
Telugu,Gurajada-Regular,NATS-Regular,0.9182,0.0818
Telugu,HindGuntur-Bold,TiroTelugu-Italic,0.9178,0.0822
Telugu,TenaliRamakrishna-Regular,Timmana-Regular,0.9175,0.0825
Telugu,"NotoSansTeluguUI[wdth,wght]",Peddana-Regular,0.9173,0.0827
Telugu,BalooTammudu2[wght],TiroTelugu-Italic,0.9164,0.0836
Telugu,Mandali-Regular,TiroTelugu-Regular,0.9159,0.0841
Telugu,"NotoSansTelugu[wdth,wght]",Peddana-Regular,0.9157,0.0843
Telugu,Ponnala-Regular,SreeKrushnadevaraya-Regular,0.9156,0.0844
Telugu,Ponnala-Regular,TiroTelugu-Regular,0.9151,0.0849
Telugu,Mandali-Regular,NTR-Regular,0.9142,0.0858
Telugu,Gidugu-Regular,RaviPrakash-Regular,0.9141,0.0859
Telugu,Mandali-Regular,SreeKrushnadevaraya-Regular,0.9136,0.0864
Telugu,LakkiReddy-Regular,Ramaraja-Regular,0.9132,0.0868
Telugu,LakkiReddy-Regular,"NotoSansTeluguUI[wdth,wght]",0.9129,0.0871
Telugu,HindGuntur-Light,Mandali-Regular,0.9127,0.0873
Telugu,Ponnala-Regular,TenaliRamakrishna-Regular,0.9122,0.0878
Telugu,LakkiReddy-Regular,Peddana-Regular,0.9121,0.0879
Telugu,LakkiReddy-Regular,Mandali-Regular,0.9117,0.0883
Telugu,Gurajada-Regular,RaviPrakash-Regular,0.911,0.089
Telugu,"NotoSansTeluguUI[wdth,wght]",Ponnala-Regular,0.9101,0.0899
Telugu,Gurajada-Regular,Sirivennela-Regular,0.91,0.09
Telugu,LakkiReddy-Regular,NTR-Regular,0.9099,0.0901
Telugu,NATS-Regular,Suravaram-Regular,0.9098,0.0902
Telugu,SreeKrushnadevaraya-Regular,Suravaram-Regular,0.9097,0.0903
Telugu,"AnekTelugu[wdth,wght]",Ponnala-Regular,0.9087,0.0913
Telugu,NATS-Regular,Sirivennela-Regular,0.9084,0.0916
Telugu,Ramaraja-Regular,TiroTelugu-Regular,0.9084,0.0916
Telugu,Ramabhadra-Regular,SreeKrushnadevaraya-Regular,0.9081,0.0919
Telugu,HindGuntur-Light,Ponnala-Regular,0.9078,0.0922
Telugu,Mandali-Regular,Timmana-Regular,0.9077,0.0923
Telugu,NotoSerifTelugu[wght],Suranna-Regular,0.9073,0.0927
Telugu,Suranna-Regular,Timmana-Regular,0.9068,0.0932
Telugu,"NotoSansTeluguUI[wdth,wght]",NTR-Regular,0.9066,0.0934
Telugu,LakkiReddy-Regular,TiroTelugu-Regular,0.9064,0.0936
Telugu,Mandali-Regular,"NotoSansTeluguUI[wdth,wght]",0.9064,0.0936
Telugu,"NotoSansTeluguUI[wdth,wght]",Ramaraja-Regular,0.9062,0.0938
Telugu,NotoSerifTelugu[wght],SreeKrushnadevaraya-Regular,0.9057,0.0943
Telugu,NotoSerifTelugu[wght],NTR-Regular,0.9057,0.0943
Telugu,Gidugu-Regular,SreeKrushnadevaraya-Regular,0.9055,0.0945
Telugu,Mandali-Regular,"NotoSansTelugu[wdth,wght]",0.9053,0.0947
Telugu,Gidugu-Regular,Sirivennela-Regular,0.9052,0.0948
Telugu,"NotoSansTelugu[wdth,wght]",Ramaraja-Regular,0.9051,0.0949
Telugu,"NotoSansTelugu[wdth,wght]",Ponnala-Regular,0.905,0.095
