script,font_1,font_2,cosine_similarity,cosine_distance
Devanagari,MartelSans-Regular,Mukta-SemiBold,0.9789,0.0211
Devanagari,Glegoo-Bold,IBMPlexSansDevanagari-Bold,0.9788,0.0212
Devanagari,Martel-ExtraBold,Martel-DemiBold,0.9788,0.0212
Devanagari,Palanquin-Medium,IBMPlexSansDevanagari-SemiBold,0.9788,0.0212
Devanagari,MartelSans-Regular,MartelSans-SemiBold,0.9785,0.0215
Devanagari,Martel-DemiBold,Martel-Light,0.9784,0.0216
Devanagari,MartelSans-Regular,Mukta-Bold,0.9784,0.0216
Devanagari,EkMukta-Bold,MartelSans-Regular,0.9784,0.0216
Devanagari,Yantramanav-Regular,"NotoSans[wdth,wght]",0.9784,0.0216
Devanagari,VesperLibre-Bold,Jaldi-Bold,0.9782,0.0218
Devanagari,Palanquin-Regular,IBMPlexSansDevanagari-Regular,0.978,0.022
Devanagari,Palanquin-Regular,IBMPlexSansDevanagari-SemiBold,0.978,0.022
Devanagari,Palanquin-Medium,IBMPlexSansDevanagari-Bold,0.9779,0.0221
Devanagari,Yantramanav-Regular,Rajdhani-SemiBold,0.9774,0.0226
Devanagari,Martel-Light,Halant-Light,0.9773,0.0227
Devanagari,Jaldi-Bold,VesperLibre-Heavy,0.9773,0.0227
Devanagari,Baloo2[wght],Mukta-Light,0.9772,0.0228
Devanagari,AnnapurnaSIL-Bold,Martel-Bold,0.9769,0.0231
Devanagari,IBMPlexSansDevanagari-Regular,Palanquin-Light,0.9768,0.0232
Devanagari,Palanquin-SemiBold,IBMPlexSansDevanagari-Bold,0.9767,0.0233
Devanagari,Sarala-Bold,PalanquinDark-Medium,0.9767,0.0233
Devanagari,Sarala-Bold,MartelSans-Bold,0.9767,0.0233
Devanagari,MartelSans-Regular,Khula-Light,0.9766,0.0234
Devanagari,Sura-Regular,Karma-Regular,0.9765,0.0235
Devanagari,Yantramanav-Regular,NotoSansDevanagariUI-Regular,0.9765,0.0235
Devanagari,IBMPlexSansDevanagari-Regular,Glegoo-Bold,0.9761,0.0239
Devanagari,Jaldi-Bold,Sura-Regular,0.9761,0.0239
Devanagari,Palanquin-SemiBold,IBMPlexSansDevanagari-SemiBold,0.976,0.024
Devanagari,MartelSans-Regular,EkMukta-ExtraBold,0.976,0.024
Devanagari,MartelSans-Regular,Mukta-ExtraBold,0.976,0.024
Devanagari,AnnapurnaSIL-Bold,Martel-ExtraBold,0.976,0.024
Devanagari,Palanquin-Medium,PalanquinDark-SemiBold,0.9759,0.0241
Devanagari,Baloo2[wght],EkMukta-Regular,0.9758,0.0242
Devanagari,Baloo2[wght],Mukta-Regular,0.9758,0.0242
Devanagari,Halant-SemiBold,Martel-Bold,0.9756,0.0244
Devanagari,IBMPlexSansDevanagari-Bold,PalanquinDark-Regular,0.9756,0.0244
Devanagari,Sura-Regular,Mukta-Regular,0.9755,0.0245
Devanagari,Sura-Regular,EkMukta-Regular,0.9755,0.0245
Devanagari,MartelSans-Bold,IBMPlexSansDevanagari-Bold,0.9755,0.0245
Devanagari,Halant-Light,Martel-Regular,0.9752,0.0248
Devanagari,Baloo2[wght],VesperLibre-Bold,0.9752,0.0248
Devanagari,Kadwa-Bold,IBMPlexSansDevanagari-SemiBold,0.9751,0.0249
Devanagari,IBMPlexSansDevanagari-Regular,Palanquin-ExtraLight,0.975,0.025
Devanagari,Khula-Bold,Amiko-SemiBold,0.9749,0.0251
Devanagari,Sumana-Regular,Karma-Regular,0.9749,0.0251
Devanagari,VesperLibre-Heavy,Sahitya-Bold,0.9748,0.0252
Devanagari,Sarala-Bold,Palanquin-Medium,0.9748,0.0252
Devanagari,Jaldi-Bold,Jaldi-Regular,0.9748,0.0252
Devanagari,Sarala-Bold,Palanquin-SemiBold,0.9747,0.0253
Devanagari,Sumana-Regular,Sura-Regular,0.9747,0.0253
Devanagari,MartelSans-Bold,IBMPlexSansDevanagari-SemiBold,0.9747,0.0253
Devanagari,Sarala-Bold,PalanquinDark-Regular,0.9747,0.0253
Devanagari,Palanquin-Regular,IBMPlexSansDevanagari-Bold,0.9746,0.0254
Devanagari,Sura-Regular,Mukta-Light,0.9746,0.0254
Devanagari,PalanquinDark-Medium,IBMPlexSansDevanagari-Bold,0.9745,0.0255
Devanagari,Palanquin-Regular,Kadwa-Bold,0.9744,0.0256
Devanagari,Palanquin-Regular,PalanquinDark-Medium,0.9743,0.0257
Devanagari,Yantramanav-Regular,Yantramanav-Light,0.9742,0.0258
Devanagari,Biryani-Bold,Khand-Bold,0.9739,0.0261
Devanagari,Palanquin-ExtraLight,Palanquin-Medium,0.9737,0.0263
Devanagari,Halant-SemiBold,Martel-ExtraBold,0.9736,0.0264
Devanagari,Sura-Regular,Eczar[wght],0.9735,0.0265
Devanagari,VesperLibre-Heavy,Karma-SemiBold,0.9735,0.0265
Devanagari,Sarala-Bold,PalanquinDark-SemiBold,0.9735,0.0265
Devanagari,Martel-DemiBold,Halant-Light,0.9734,0.0266
Devanagari,IBMPlexSansDevanagari-SemiBold,PalanquinDark-Regular,0.9733,0.0267
Devanagari,Martel-Bold,Martel-Regular,0.9732,0.0268
Devanagari,Baloo2[wght],Jaldi-Regular,0.9729,0.0271
Devanagari,VesperLibre-Bold,Eczar[wght],0.9726,0.0274
Devanagari,Baloo2[wght],Karma-Regular,0.9724,0.0276
Devanagari,Cambay-BoldItalic,Cambay-Italic,0.9722,0.0278
Devanagari,Eczar[wght],Sahitya-Bold,0.9722,0.0278
Devanagari,MartelSans-Bold,Palanquin-Medium,0.9718,0.0282
Devanagari,Sura-Regular,VesperLibre-Heavy,0.9718,0.0282
Devanagari,Sahitya-Regular,Karma-Light,0.9716,0.0284
Devanagari,MartelSans-Bold,Kadwa-Bold,0.9716,0.0284
Devanagari,Martel-Bold,Halant-Bold,0.9715,0.0285
Devanagari,Jaldi-Regular,Mukta-Light,0.9715,0.0285
Devanagari,Yantramanav-Light,NotoSansDevanagariUI-ExtraLight,0.9714,0.0286
Devanagari,MartelSans-Bold,Khula-Bold,0.9713,0.0287
Devanagari,AnnapurnaSIL-Bold,Martel-DemiBold,0.9707,0.0293
Devanagari,IBMPlexSansDevanagari-Regular,Palanquin-Medium,0.9707,0.0293
Devanagari,Karma-Regular,Sahitya-Bold,0.9706,0.0294
Devanagari,VesperLibre-Bold,Karma-SemiBold,0.9705,0.0295
Devanagari,Baloo2[wght],Sumana-Regular,0.9704,0.0296
Devanagari,Martel-ExtraBold,Halant-Bold,0.9704,0.0296
Devanagari,Poppins-SemiBoldItalic,Poppins-BlackItalic,0.9703,0.0297
Devanagari,MartelSans-Bold,Hind-Bold,0.9703,0.0297
Devanagari,Sarala-Bold,Khula-Bold,0.9702,0.0298
Devanagari,PalanquinDark-Medium,IBMPlexSansDevanagari-SemiBold,0.9702,0.0298
Devanagari,Baloo2[wght],Jaldi-Bold,0.9701,0.0299
Devanagari,Palanquin-Regular,Glegoo-Bold,0.9699,0.0301
Devanagari,Mukta-Regular,Jaldi-Regular,0.9693,0.0307
Devanagari,Jaldi-Regular,EkMukta-Regular,0.9693,0.0307
Devanagari,Yantramanav-Regular,NotoSansDevanagariUI-Medium,0.9692,0.0308
Devanagari,IBMPlexSansDevanagari-Bold,PalanquinDark-SemiBold,0.9692,0.0308
Devanagari,MartelSans-Bold,MartelSans-Regular,0.9692,0.0308
Devanagari,Palanquin-Regular,MartelSans-Bold,0.9692,0.0308
Devanagari,Palanquin-Regular,Sarala-Bold,0.9691,0.0309
Devanagari,Palanquin-SemiBold,MartelSans-Bold,0.9689,0.0311
Devanagari,PalanquinDark-Medium,MartelSans-Bold,0.9688,0.0312
Devanagari,VesperLibre-Bold,Karma-Regular,0.9688,0.0312
Devanagari,Mukta-SemiBold,EkMukta-Regular,0.9681,0.0319
Devanagari,EkMukta-Regular,EkMukta-SemiBold,0.9681,0.0319
Devanagari,Mukta-SemiBold,Mukta-Regular,0.9681,0.0319
Devanagari,Mukta-Regular,EkMukta-SemiBold,0.9681,0.0319
Devanagari,Baloo2[wght],Sahitya-Bold,0.9677,0.0323
Devanagari,MartelSans-Bold,PalanquinDark-Regular,0.9677,0.0323
Devanagari,EkMukta-Bold,EkMukta-Regular,0.9675,0.0325
Devanagari,Jaldi-Bold,Karma-SemiBold,0.9675,0.0325
Devanagari,Mukta-Bold,Mukta-Regular,0.9675,0.0325
Devanagari,Karma-Light,Yantramanav-Light,0.9675,0.0325
Devanagari,EkMukta-Bold,Mukta-Regular,0.9675,0.0325
Devanagari,Mukta-Bold,EkMukta-Regular,0.9675,0.0325
Devanagari,Palanquin-Light,IBMPlexSansDevanagari-SemiBold,0.9673,0.0327
Devanagari,Jaldi-Bold,Sahitya-Bold,0.9673,0.0327
Devanagari,Amiko-SemiBold,Khula-ExtraBold,0.9671,0.0329
Devanagari,Martel-ExtraBold,Laila-Bold,0.9669,0.0331
Devanagari,EkMukta-Bold,MartelSans-SemiBold,0.9669,0.0331
Devanagari,Mukta-Bold,MartelSans-SemiBold,0.9669,0.0331
Devanagari,Sumana-Regular,Mukta-Light,0.9668,0.0332
Devanagari,MartelSans-Regular,Hind-Bold,0.9667,0.0333
Devanagari,Palanquin-SemiBold,Palanquin-Light,0.9666,0.0334
Devanagari,VesperLibre-Bold,Sumana-Regular,0.9666,0.0334
Devanagari,"NotoSans[wdth,wght]",NotoSansDevanagariUI-ExtraLight,0.9666,0.0334
Devanagari,Sahitya-Regular,Yantramanav-Light,0.9666,0.0334
Devanagari,Jaldi-Regular,Karma-Regular,0.9665,0.0335
Devanagari,Laila-Regular,Karma-SemiBold,0.9661,0.0339
Devanagari,Glegoo-Bold,Palanquin-Light,0.966,0.034
Devanagari,Baloo2[wght],Eczar[wght],0.9659,0.0341
Devanagari,Palanquin-Regular,PalanquinDark-SemiBold,0.9657,0.0343
Devanagari,Palanquin-Medium,Glegoo-Bold,0.9657,0.0343
Devanagari,Biryani-Bold,MartelSans-SemiBold,0.9657,0.0343
Devanagari,Khula-ExtraBold,PalanquinDark-SemiBold,0.9656,0.0344
Devanagari,Eczar[wght],Karma-Regular,0.9656,0.0344
Devanagari,VesperLibre-Bold,EkMukta-Regular,0.9654,0.0346
Devanagari,Laila-Regular,Martel-Light,0.9654,0.0346
Devanagari,VesperLibre-Bold,Mukta-Regular,0.9654,0.0346
