script,model,feature_dim,fonts_analyzed,glyphs_rendered,mean_cosine_distance,std_cosine_distance,embedding_spread,effective_dimensions,n_embeddings,diversity_index
Han,Classical CV,1808,97,949,0.06751736998558044,0.04868985712528229,0.0033740298822522163,17,97,0.0
Tamil,Classical CV,1808,32,320,0.06945785880088806,0.06805520504713058,0.0034102443605661392,11,32,0.017065726189083016
Bengali,Classical CV,1808,22,220,0.11593671143054962,0.054058175534009933,0.0034480178728699684,9,22,0.4258263262520127
Cyrillic,Classical CV,1808,100,1000,0.1316438615322113,0.10415823012590408,0.004671189002692699,20,100,0.5639636454322278
Katakana,Classical CV,1808,99,990,0.14383503794670105,0.08665429055690765,0.004797503352165222,23,99,0.6711795577174565
Arabic,Classical CV,1808,91,897,0.1479775309562683,0.07803281396627426,0.004987785127013922,25,91,0.707610920209107
Devanagari,Classical CV,1808,99,990,0.15863999724388123,0.09529551863670349,0.004455861635506153,15,99,0.8013825146286733
Telugu,Classical CV,1808,37,370,0.18122415244579315,0.11423550546169281,0.004746055230498314,10,37,1.0
