script,diversity_index,mean_cosine_distance,fonts_analyzed,feature_dim
Han,0.0,0.06751736998558044,97,1808
Tamil,0.017065726189083016,0.06945785880088806,32,1808
Bengali,0.4258263262520127,0.11593671143054962,22,1808
Cyrillic,0.5639636454322278,0.1316438615322113,100,1808
Katakana,0.6711795577174565,0.14383503794670105,99,1808
Arabic,0.707610920209107,0.1479775309562683,91,1808
Devanagari,0.8013825146286733,0.15863999724388123,99,1808
Telugu,1.0,0.18122415244579315,37,1808
