script,exposure,support,complexity,diversity_index,log_exposure,log_support,log_exposure_norm,log_support_norm,complexity_norm,diversity_index_norm,sss,sss_norm
Devanagari,192989,62,0.846702131410983,0.1660467166205963,5.2855325557671256,1.792391689498254,0.5135169074960044,0.5268412553580458,1.0,0.1660467166205963,1.5572083078383394,1.0
Bengali,23006,11,0.6150251587877555,0.1552172817988672,4.361841115455327,1.0413926851582251,0.11705316740700535,0.0,0.7263772417377167,0.1552172817988672,1.4145903690835715,0.9475278597739922
Arabic,145526,54,0.5405003316419505,0.3810796988932504,5.162940592275693,1.7323937598229686,0.4608983963465876,0.4847514730729294,0.6383594791963452,0.3810796988932504,0.6294104462366337,0.6586436466518681
Tamil,15721,17,0.290402500113919,0.0,4.196480167700148,1.2304489213782739,0.04607749636522355,0.13262684004616976,0.34298071227242455,0.0,0.533098660840818,0.6232085144880509
Telugu,12278,27,0.43267437315016477,0.3582876497437442,4.089127629044278,1.4313637641589874,0.0,0.27357273661719883,0.511011319209905,0.3582876497437442,0.2533758837502675,0.5202926196710467
Cyrillic,2623937,293,0.16671453377223366,0.6474647465656547,6.418953403538677,2.4668676203541096,1.0,1.0,0.19689868206002145,0.6474647465656547,-0.7536673824456117,0.14978021471791883
Han,96340,29,0.0018595633521542032,0.7490574868560783,4.983806641978415,1.462397997898956,0.38401112337607857,0.2953438901981659,0.0021962426727984517,0.7490574868560783,-0.8036697134316517,0.13138330514234114
Katakana,434832,67,0.0,1.0,5.638321497033487,1.8260748027008264,0.6649397929016398,0.5504706523898105,0.0,1.0,-1.160766185683076,0.0
