script,total_fonts_available,fonts_analyzed,glyphs_rendered,reference_chars_used,mean_cosine_distance,std_cosine_distance,embedding_spread,effective_dimensions,n_embeddings,diversity_index
Tamil,35,32,320,10,0.07706402242183685,0.099216990172863,0.00919888261705637,7,32,0.0
Devanagari,216,99,990,10,0.13111001253128052,0.0726257711648941,0.012390412390232086,16,99,0.30509080934298516
Bengali,25,22,220,10,0.14571410417556763,0.08336538821458817,0.012562711723148823,7,22,0.3875312296304496
Arabic,126,91,901,10,0.1601221114397049,0.10706169158220291,0.013605058193206787,14,91,0.4688647492557504
Telugu,38,37,370,10,0.16965831816196442,0.11375101655721664,0.013750550337135792,10,37,0.5226968470869603
Han,177,97,946,10,0.19545850157737732,0.1039058119058609,0.015057224780321121,11,97,0.6683394530132487
Cyrillic,777,100,1000,10,0.1960967630147934,0.1553955078125,0.015222795307636261,17,100,0.6719424529420013
Katakana,200,100,1000,10,0.2542112469673157,0.1385074257850647,0.01715308427810669,11,100,1.0
