script,total_fonts,fonts_analyzed,reference_chars,glyphs_rendered,mean_cosine_distance,std_cosine_distance,embedding_spread,effective_dimensions,n_embeddings,diversity_index
Tamil,35.0,34,93.0,2974,0.0541952401399612,0.0763624534010887,0.0076243854127824,5,34,0.0
Bengali,25.0,24,91.0,2013,0.0770707204937934,0.0423279330134391,0.0091730644926428,6,24,0.15521728179886696
Devanagari,216.0,100,101.0,9947,0.0786667317152023,0.0597297325730323,0.0095406202599406,11,100,0.16604671662059642
Telugu,38.0,37,90.0,3279,0.1069986522197723,0.0893392413854599,0.0107701374217867,7,37,0.3582876497437442
Arabic,126.0,99,90.0,7833,0.11035767942667,0.0831155553460121,0.0112287476658821,11,99,0.3810796988932502
Cyrillic,777.0,100,99.0,9243,0.1496167480945587,0.1249840930104255,0.0131904706358909,14,100,0.6474647465656548
Han,177.0,97,88.0,7990,0.1645891964435577,0.090795874595642,0.0137364519760012,9,97,0.7490574868560783
Katakana,200.0,99,90.0,8819,0.2015723884105682,0.1148481965065002,0.0152241541072726,10,99,1.0
Latin,,3783,,37828,0.17976120114326477,0.13130955398082733,0.014707130379974842,40,3783,0.8520042793387836
