script,font_name,font_count
latin,metropolis,28748
latin,font-awesome-7-pro,28639
cyrillic,font-awesome-7-pro,28639
latin,exo-2,28587
cyrillic,exo-2,28587
latin,rajdhani,26154
devanagari,rajdhani,26154
latin,sarabun,25225
cyrillic,graphik-web,23741
latin,graphik-web,23741
cyrillic,comfortaa,23712
latin,comfortaa,23712
arabic,material-design-icons,23344
katakana,material-design-icons,23344
latin,material-design-icons,23344
arabic,tajawal,23336
latin,tajawal,23336
latin,public-sans,23217
cyrillic,oxygen,23151
latin,oxygen,23151
latin,dosis,22465
latin,be-vietnam-pro,22359
arabic,cairo,22160
latin,cairo,22160
latin,kiwi-maru,22043
katakana,kiwi-maru,22043
cyrillic,kiwi-maru,22043
cyrillic,iconfont,20821
arabic,lexend,20567
latin,lexend,20567
cyrillic,font-awesome-7-free,20043
latin,font-awesome-7-free,20043
latin,red-hat-display,19976
cyrillic,crimson-text,19554
latin,crimson-text,19554
latin,sora,19466
cyrillic,lato-hairline,19043
latin,lato-hairline,19043
latin,urbanist,18857
latin,anton,18842
latin,europa,18277
cyrillic,bitter,18198
latin,bitter,18198
cyrillic,alegreya-sans,18104
latin,alegreya-sans,18104
cyrillic,geist,18095
latin,geist,18095
latin,inter-tight,18009
cyrillic,inter-tight,18009
latin,droid-sans,17951
cyrillic,droid-sans,17951
cyrillic,roboto-mono,17666
latin,roboto-mono,17666
latin,font-awesome-7-brands,17652
cyrillic,font-awesome-7-brands,17652
latin,cinzel,17359
latin,saira,16951
latin,space-grotesk,16799
cyrillic,space-grotesk,16799
latin,asap,16716
latin,astra,16650
latin,lexend-deca,16058
arabic,lexend-deca,16058
devanagari,mukta,15855
latin,mukta,15855
bengali,other,15704
cyrillic,droid-serif,15580
latin,droid-serif,15580
latin,questrial,15478
latin,exo,15398
cyrillic,futura-pt,15118
latin,futura-pt,15118
latin,overpass,14953
cyrillic,overpass,14953
cyrillic,spectral,14852
latin,spectral,14852
cyrillic,helvetica-neue,14703
arabic,helvetica-neue,14703
latin,helvetica-neue,14703
devanagari,helvetica-neue,14703
katakana,nanummyeongjo,14617
cyrillic,nanummyeongjo,14617
latin,nanummyeongjo,14617
devanagari,noto-sans-sc,14592
telugu,noto-sans-sc,14592
latin,noto-sans-sc,14592
cyrillic,noto-sans-sc,14592
bengali,noto-sans-sc,14592
tamil,noto-sans-sc,14592
arabic,noto-sans-sc,14592
katakana,noto-sans-sc,14592
cyrillic,brandon-text,14491
latin,brandon-text,14491
latin,source-serif-pro,13958
cyrillic,source-serif-pro,13958
latin,dancing-script,13760
latin,avenir,13724
arabic,avenir,13724
cyrillic,avenir,13724
latin,din-2014,13576
cyrillic,din-2014,13576
latin,albert-sans,13522
cyrillic,play,13520
latin,play,13520
latin,m-plus-1,13171
katakana,m-plus-1,13171
cyrillic,false,13158
latin,false,13158
latin,cardo,13157
latin,gibson,13105
cyrillic,gibson,13105
cyrillic,sf-pro-display,13031
latin,sf-pro-display,13031
latin,hind-siliguri,12767
bengali,hind-siliguri,12767
latin,open-sans-hebrew,12596
latin,instrument-sans,12568
latin,encode-sans,12495
latin,avenir-lt-std,12232
latin,almarai,12205
arabic,almarai,12205
latin,catamaran,11955
tamil,catamaran,11955
cyrillic,ibm-plex-mono,11953
latin,ibm-plex-mono,11953
latin,gothic-a1,11871
katakana,gothic-a1,11871
cyrillic,gothic-a1,11871
latin,klee-one,11852
cyrillic,klee-one,11852
katakana,klee-one,11852
latin,century-gothic-pro,11841
latin,geomanist,11717
cyrillic,geomanist,11717
latin,bai-jamjuree,11697
cyrillic,cormorant,11649
latin,cormorant,11649
latin,montserrat-alternates,11627
cyrillic,montserrat-alternates,11627
latin,onest,11586
cyrillic,onest,11586
cyrillic,satoshi,11536
katakana,satoshi,11536
latin,satoshi,11536
latin,maven-pro,11524
latin,fjalla-one,11373
latin,merriweather-sans,11247
cyrillic,merriweather-sans,11247
katakana,biz-udgothic,11075
cyrillic,biz-udgothic,11075
latin,biz-udgothic,11075
tamil,other,11022
latin,teko,10964
cyrillic,teko,10964
devanagari,teko,10964
latin,kosugi,10922
cyrillic,kosugi,10922
katakana,kosugi,10922
latin,varela-round,10875
latin,inter-variable,10824
cyrillic,inter-variable,10824
latin,abel,10822
katakana,boxicons,10771
arabic,boxicons,10771
latin,dm-serif-display,10728
latin,freight-sans,10569
cyrillic,caveat,10407
latin,caveat,10407
latin,font-awesome-6-sharp,10401
cyrillic,font-awesome-6-sharp,10401
latin,arvo,10394
cyrillic,arvo,10394
latin,gotham-pro,10354
cyrillic,gotham-pro,10354
latin,circular-std,10334
arabic,league-spartan,10316
latin,league-spartan,10316
latin,avenir-next-lt-pro,10194
cyrillic,avenir-next-lt-pro,10194
latin,spotify-mix-ui,10099
latin,marcellus,10086
arabic,segoe-ui,10076
telugu,segoe-ui,10076
devanagari,segoe-ui,10076
latin,segoe-ui,10076
tamil,segoe-ui,10076
cyrillic,segoe-ui,10076
bengali,segoe-ui,10076
latin,abril-fatface,9985
latin,neuehaasgroteskdisp-pro,9879
latin,geist-mono,9801
cyrillic,geist-mono,9801
latin,zilla-slab,9783
latin,icofont,9727
latin,copyright-klim-type-foundry,9700
latin,graphik,9613
cyrillic,graphik,9613
latin,amatic-sc,9591
cyrillic,amatic-sc,9591
latin,abeezee,9545
latin,feather,9229
cyrillic,effra,9163
arabic,effra,9163
latin,effra,9163
cyrillic,omnes,9153
latin,omnes,9153
cyrillic,alegreya,9113
latin,alegreya,9113
cyrillic,google-sans-display,9015
latin,google-sans-display,9015
latin,roboto-fl,8979
cyrillic,roboto-fl,8979
telugu,other,8849
latin,halyard-display,8840
cyrillic,minion-pro,8554
latin,minion-pro,8554
latin,aeonik,8493
latin,yaku-han-jp,8373
katakana,yaku-han-jp,8373
cyrillic,yaku-han-jp,8373
latin,toyota-type,8362
cyrillic,toyota-type,8362
cyrillic,pacifico,8353
latin,pacifico,8353
latin,adobe-caslon-pro,8348
latin,signika,8328
arabic,calibri,8328
latin,calibri,8328
cyrillic,calibri,8328
latin,tiktok-text,8215
latin,vollkorn,8193
cyrillic,vollkorn,8193
devanagari,yantramanav,8179
latin,yantramanav,8179
latin,orpheus-pro,8163
cyrillic,century-gothic,7760
latin,century-gothic,7760
latin,m-plus-2,7746
katakana,m-plus-2,7746
latin,helvetica-neue-lt-std,7739
cyrillic,interstate,7655
latin,interstate,7655
latin,quattrocento-sans,7631
latin,lobster,7588
cyrillic,lobster,7588
cyrillic,my-font,7564
arabic,my-font,7564
latin,my-font,7564
bengali,adobe-blank,7541
latin,adobe-blank,7541
cyrillic,adobe-blank,7541
devanagari,adobe-blank,7541
katakana,adobe-blank,7541
telugu,adobe-blank,7541
tamil,adobe-blank,7541
arabic,adobe-blank,7541
latin,latolatin,7499
cyrillic,helveticaneuecyr,7479
latin,helveticaneuecyr,7479
latin,museo-sans-cyrl,7386
cyrillic,museo-sans-cyrl,7386
latin,porto,7385
latin,freighttext-pro,7385
latin,syne,7307
katakana,noto-sans-cjk-jp,7193
cyrillic,noto-sans-cjk-jp,7193
latin,noto-sans-cjk-jp,7193
latin,notokr,7129
latin,epilogue,7109
latin,prata,7075
cyrillic,prata,7075
latin,museo-slab,7062
latin,adelle-sans,7050
katakana,나눔고딕,7030
latin,나눔고딕,7030
cyrillic,나눔고딕,7030
latin,ibm-plex-serif,7016
cyrillic,ibm-plex-serif,7016
latin,noto-sans-thai,6978
devanagari,noto-sans-thai,6978
cyrillic,noto-sans-thai,6978
latin,din,6967
cyrillic,din,6967
latin,chevy-sans,6961
latin,helvetica,6947
cyrillic,helvetica,6947
latin,philosopher,6899
cyrillic,philosopher,6899
latin,gt-america,6861
latin,ibm-plex-sans-arabic,6854
arabic,ibm-plex-sans-arabic,6854
latin,red-hat-text,6836
latin,shadows-into,6745
cyrillic,hina-mincho,6742
katakana,hina-mincho,6742
latin,hina-mincho,6742
cyrillic,avenir-next,6631
latin,avenir-next,6631
latin,cera-pro,6566
cyrillic,cera-pro,6566
latin,freightsans-pro,6529
latin,fraunces,6506
latin,helvetica-neue-lt-pro,6455
cyrillic,nexa,6423
latin,nexa,6423
cyrillic,museo,6404
latin,museo,6404
latin,spartan,6339
latin,great-vibes,6316
cyrillic,great-vibes,6316
latin,abhaya-libre,6300
cyrillic,hk-grotesk,6266
latin,hk-grotesk,6266
latin,sofia-sans,6254
cyrillic,sofia-sans,6254
latin,museo-sans-rounded,6246
latin,phosphor,6207
cyrillic,phosphor,6207
arabic,phosphor,6207
latin,icon,6198
cyrillic,old-standard-tt,6127
latin,old-standard-tt,6127
latin,chakra-petch,6092
cyrillic,chakra-petch,6092
arabic,fontcustom,6041
latin,kumbh-sans,6028
latin,din-pro,6022
cyrillic,din-pro,6019
arabic,din-pro,6019
latin,noto-sans-hk,5953
katakana,noto-sans-hk,5953
cyrillic,noto-sans-hk,5953
latin,biz-udpmincho,5943
katakana,biz-udpmincho,5943
cyrillic,biz-udpmincho,5943
cyrillic,product-sans,5929
latin,product-sans,5929
latin,hanken-grotesk,5827
cyrillic,arial,5794
arabic,arial,5794
latin,arial,5794
latin,marianne,5766
latin,gill-sans-nova,5719
cyrillic,gill-sans-nova,5719
cyrillic,yanone-kaffeesatz,5674
latin,yanone-kaffeesatz,5674
latin,neue-haas-grotesk-display-pro,5661
latin,pt-sans-caption,5645
cyrillic,pt-sans-caption,5645
latin,freightbig-pro,5632
latin,wix-madefor-text-vf,5571
cyrillic,wix-madefor-text-vf,5571
latin,bree-serif,5537
latin,unbounded,5502
cyrillic,unbounded,5502
cyrillic,source-serif-4,5481
latin,source-serif-4,5481
latin,neuehaasgrotesktext-pro,5470
latin,roc-grotesk,5424
latin,calluna,5392
latin,jetbrains-mono,5389
cyrillic,jetbrains-mono,5389
latin,kepler-std,5367
latin,degular,5365
latin,titillium,5356
cyrillic,amiri,5325
latin,amiri,5325
arabic,amiri,5325
devanagari,copyright-(c)-h&co-|-typography.com,5252
latin,copyright-(c)-h&co-|-typography.com,5252
arabic,copyright-(c)-h&co-|-typography.com,5252
cyrillic,copyright-(c)-h&co-|-typography.com,5252
latin,roboto-serif,5247
cyrillic,roboto-serif,5247
cyrillic,circe,5239
latin,circe,5239
katakana,noto-serif-kr,5209
latin,noto-serif-kr,5209
cyrillic,noto-serif-kr,5209
latin,chivo,5189
latin,orbitron,5158
cyrillic,orbitron,5158
latin,antenna,5111
cyrillic,antenna,5111
cyrillic,dinpro,5100
latin,dinpro,5100
latin,ibm-plex-sans-thai,5090
arabic,linearicons,5061
latin,krub,5058
cyrillic,gotham-rounded,5039
latin,gotham-rounded,5039
latin,bricolage-grotesque,5038
cyrillic,euclid-circular-a,5037
latin,euclid-circular-a,5037
latin,alata,5006
