script,diversity_index,mean_cosine_distance,fonts_analyzed,reference_chars,glyphs_rendered
Tamil,0.0,0.023014137521386147,34,93,2974
Bengali,0.16551660822048928,0.0342603474855423,24,91,2013
Devanagari,0.2008746243073723,0.036662787199020386,100,101,9947
Arabic,0.3067300768010212,0.04385525360703468,99,90,7833
Telugu,0.3238897622698388,0.045021187514066696,37,90,3279
Han,0.6301369491240695,0.06582949310541153,97,88,7990
Cyrillic,0.6418899120027306,0.06662806123495102,100,99,9243
Katakana,1.0,0.09096024930477142,99,90,8819
