script,total_fonts,fonts_analyzed,reference_chars,glyphs_rendered,mean_cosine_distance,std_cosine_distance,embedding_spread,effective_dimensions,n_embeddings,diversity_index
Tamil,35,34,93,2974,0.023014137521386147,0.029152976348996162,0.0026378659531474113,5,34,0.0
Bengali,25,24,91,2013,0.0342603474855423,0.019718505442142487,0.0032011158764362335,5,24,0.16551660822048928
Devanagari,216,100,101,9947,0.036662787199020386,0.029847227036952972,0.003395729698240757,8,100,0.2008746243073723
Arabic,126,99,90,7833,0.04385525360703468,0.03399060294032097,0.0037820148281753063,9,99,0.3067300768010212
Telugu,38,37,90,3279,0.045021187514066696,0.03548470512032509,0.00369016220793128,6,37,0.3238897622698388
Han,177,97,88,7990,0.06582949310541153,0.03931019455194473,0.004563639871776104,8,97,0.6301369491240695
Cyrillic,777,100,99,9243,0.06662806123495102,0.05790449678897858,0.004828554578125477,12,100,0.6418899120027306
Katakana,200,99,90,8819,0.09096024930477142,0.05041346326470375,0.005429946817457676,9,99,1.0
