,Latin,Cyrillic,Katakana,Han,Devanagari,Arabic,Telugu,Bengali,Tamil
Latin,0.9032514691352844,0.7555274963378906,0.6872232556343079,0.7190336585044861,0.7984125018119812,0.7929450869560242,0.7816270589828491,0.8309933543205261,0.8556743264198303
Cyrillic,0.7555274963378906,0.7209376692771912,0.6568295359611511,0.6958945989608765,0.724517822265625,0.6790997982025146,0.6382113099098206,0.7470912933349609,0.7040076851844788
Katakana,0.6872233748435974,0.6568295359611511,0.7915068864822388,0.7074245810508728,0.6781652569770813,0.7483162879943848,0.6206729412078857,0.7213248014450073,0.6595855951309204
Han,0.7190336585044861,0.6958945989608765,0.7074245810508728,0.806784987449646,0.7342609763145447,0.6877623796463013,0.6483047008514404,0.7539432644844055,0.6920080780982971
Devanagari,0.7984125018119812,0.724517822265625,0.6781652569770813,0.7342609763145447,0.8542717099189758,0.7509127855300903,0.7258301377296448,0.8568272590637207,0.7969806790351868
Arabic,0.7929450869560242,0.6790997982025146,0.7483162879943848,0.6877623796463013,0.7509127855300903,0.8822829723358154,0.762850284576416,0.7894120216369629,0.8065307140350342
Telugu,0.7816271185874939,0.6382113695144653,0.6206729412078857,0.6483047008514404,0.7258301377296448,0.7628503441810608,0.8247520327568054,0.7727018594741821,0.8167598843574524
Bengali,0.8309932947158813,0.7470912933349609,0.7213248014450073,0.7539432644844055,0.8568272590637207,0.7894120812416077,0.7727018594741821,0.8990498781204224,0.8398165106773376
Tamil,0.8556743264198303,0.704007625579834,0.6595855355262756,0.6920080780982971,0.7969806790351868,0.8065307140350342,0.8167599439620972,0.8398165106773376,0.9169487357139587
