script,exposure,support,similarity_index,log_exposure,log_support,log_exposure_norm,log_support_norm,similarity_index_norm,sss,sss_norm,tier
Latin,21798683,1920,0.14799572066121636,7.338430255847247,3.2833012287035497,1.0,1.0,0.14799572066121636,0.1161017069910705,1.0,Well served
Cyrillic,21634695,293,0.3525352534343452,7.335150777013335,2.4668676203541096,0.9656568456775924,0.6358309928832587,0.3525352534343452,0.056124020511732604,0.4834039220116648,Moderately served
Katakana,19510113,67,0.0,7.290259784778134,1.8260748027008264,0.49555218817004,0.35000630146210837,0.0,0.048010127457036866,0.4135178431160308,Moderately served
Han,17496000,26,0.2509425131439217,7.242938770029581,1.414973347970818,0.0,0.16663510377716714,0.2509425131439217,0.01723323584810822,0.14843223493202942,Underserved
Arabic,19725551,54,0.6189203011067498,7.295029143334808,1.7323937598229686,0.5454975682825711,0.30822001042558295,0.6189203011067498,0.016100879990749738,0.138679097904978,Underserved
Telugu,18950266,27,0.6417123502562558,7.277615310426593,1.4313637641589874,0.3631375101150276,0.17394602474910376,0.6417123502562558,0.008563617301993716,0.07375961580523835,Underserved
Devanagari,20913007,62,0.8339532833794037,7.320416482823208,1.792391689498254,0.8113572862565439,0.3349819984861687,0.8339532833794037,0.0075982918603262764,0.0654451347637005,Underserved
Bengali,18957649,11,0.8447827182011332,7.277784478063506,1.0413926851582251,0.3649090569232519,0.0,0.8447827182011332,0.0,0.0,Underserved
Tamil,18886672,17,1.0,7.276155438103491,1.2304489213782739,0.347849525949728,0.08432825538952525,1.0,0.0,0.0,Underserved
