source,target,similarity,similarity_normalized
Suravaram-Regular,TiroTelugu-Italic,0.9596136808395386,1.0
Suravaram-Regular,Chathura-Bold,0.7678847312927246,0.4999999999952954
TiroTelugu-Italic,Chathura-Bold,0.7110541462898254,0.0
