source,target,similarity,similarity_normalized
HindMadurai-Medium,Kavivanar-Regular,0.9541666507720947,0.4999999999952954
HindMadurai-Medium,HindMadurai-Light,0.9722461700439453,1.0
Kavivanar-Regular,HindMadurai-Light,0.9396151304244995,0.0
