script,total_fonts,fonts_analyzed,reference_chars,glyphs_rendered,mean_cosine_distance,std_cosine_distance,embedding_spread,effective_dimensions,n_embeddings,diversity_index
Tamil,35,34,93,2974,0.05419524013996124,0.07636244595050812,0.007624385412782431,5,34,0.0
Bengali,25,24,91,2013,0.0770706906914711,0.04232792556285858,0.00917306449264288,6,24,0.15521709527464855
Devanagari,216,100,101,9947,0.07866672426462173,0.05972972884774208,0.00954061932861805,11,100,0.16604668285489882
Telugu,38,37,90,3279,0.10699863731861115,0.0893392264842987,0.010770137421786785,7,37,0.35828758486082135
Arabic,126,99,90,7833,0.11035767942667007,0.08311554044485092,0.01122874766588211,11,99,0.38107973742385476
Cyrillic,777,100,99,9243,0.14961671829223633,0.12498407810926437,0.01319047063589096,14,100,0.6474646098121071
Han,177,97,88,7990,0.16458919644355774,0.09079587459564209,0.013736451976001263,9,97,0.7490575625925653
Katakana,200,99,90,8819,0.20157237350940704,0.11484819650650024,0.015224154107272625,10,99,1.0
