script,diversity_index,mean_cosine_distance,fonts_analyzed,reference_chars,glyphs_rendered
Tamil,0.0,0.05419524013996124,34,93,2974
Bengali,0.15521709527464855,0.0770706906914711,24,91,2013
Devanagari,0.16604668285489882,0.07866672426462173,100,101,9947
Telugu,0.35828758486082135,0.10699863731861115,37,90,3279
Arabic,0.38107973742385476,0.11035767942667007,99,90,7833
Cyrillic,0.6474646098121071,0.14961671829223633,100,99,9243
Han,0.7490575625925653,0.16458919644355774,97,88,7990
Katakana,1.0,0.20157237350940704,99,90,8819
