font_file,font_family,script,codepoint_coverage,total_glyphs,expansion_ratio,vertical_footprint,friction_score,friction_contextual_joining,friction_indic_shaping,friction_ligature_heavy,friction_mark_positioning,friction_rtl_layout
KaiseiOpti-Medium.ttf,Kaisei Opti Medium,Katakana,94,9368,1.7446808510638299,1.0,1,False,False,True,False,False
KaiseiOpti-Medium.ttf,Kaisei Opti Medium,Han,6753,9368,1.7492966089145565,1.0,1,False,False,True,False,False
Lohit-Devanagari.ttf,Lohit Devanagari,Devanagari,155,423,2.632258064516129,1.33203125,2,False,True,False,True,False
Teko[wght].ttf,Teko Light,Devanagari,93,1025,3.096774193548387,1.433,4,False,True,True,True,True
PlayfairDisplay-Italic[wght].ttf,Playfair Display,Cyrillic,122,1101,1.7377049180327868,1.333,3,True,False,True,True,False
PlayfairDisplay[wght].ttf,Playfair Display,Cyrillic,122,1103,1.7377049180327868,1.333,3,True,False,True,True,False
"AnekDevanagari[wdth,wght].ttf",Anek Devanagari Medium,Devanagari,129,1282,3.798449612403101,1.7055,3,False,True,True,True,False
Neucha.ttf,Neucha,Cyrillic,94,286,1.0,1.1015625,0,False,False,False,False,False
RubikPuddles-Regular.ttf,Rubik Puddles,Cyrillic,182,774,1.445054945054945,1.185,3,False,False,True,True,True
SeymourOne-Regular.ttf,Seymour One,Cyrillic,100,529,1.6,1.2568359375,2,False,False,True,True,False
RubikIso-Regular.ttf,Rubik Iso,Cyrillic,182,774,1.445054945054945,1.185,3,False,False,True,True,True
"Playfair[opsz,wdth,wght].ttf",Playfair 5pt SemiExpanded Light,Cyrillic,124,2316,1.7258064516129032,1.2,4,True,False,True,True,True
"Playfair-Italic[opsz,wdth,wght].ttf",Playfair 5pt SemiExpanded Light,Cyrillic,124,2326,1.7258064516129032,1.2,4,True,False,True,True,True
ShipporiAntiqueB1-Regular.ttf,Shippori Antique B1,Katakana,110,16210,1.1454545454545455,1.0,2,False,False,False,True,True
ShipporiAntiqueB1-Regular.ttf,Shippori Antique B1,Han,14500,16210,1.1289655172413793,1.0,2,False,False,False,True,True
"NotoSansDisplay-Italic[wdth,wght].ttf",Noto Sans Display,Cyrillic,304,3327,1.7401315789473684,1.362,3,False,False,True,True,True
"NotoSansDisplay[wdth,wght].ttf",Noto Sans Display,Cyrillic,304,3316,1.7401315789473684,1.362,3,False,False,True,True,True
Rock3D-Regular.ttf,Rock 3D,Katakana,93,411,1.0,1.0,0,False,False,False,False,False
Pushster-Regular.ttf,Lobster,Cyrillic,182,1174,9.307692307692308,1.25,3,True,False,True,True,False
BpmfHuninn-Regular.ttf,ㄅ注音粉圓,Katakana,88,21535,1.0,1.12,0,False,False,False,False,False
BpmfHuninn-Regular.ttf,ㄅ注音粉圓,Han,8245,21535,1.0,1.12,0,False,False,False,False,False
HiMelody-Regular.ttf,Hi Melody,Katakana,86,12103,1.0,1.25,0,False,False,False,False,False
Akshar[wght].ttf,Akshar Light,Devanagari,120,813,3.1,1.38,3,False,True,True,True,False
Palanquin-Regular.ttf,Palanquin,Devanagari,128,1246,11.984375,1.0,2,False,True,False,True,False
Palanquin-Thin.ttf,Palanquin,Devanagari,128,1245,11.984375,1.0,2,False,True,False,True,False
Palanquin-ExtraLight.ttf,Palanquin,Devanagari,128,1245,11.984375,1.0,2,False,True,False,True,False
Palanquin-Bold.ttf,Palanquin,Devanagari,128,1246,11.984375,1.0,2,False,True,False,True,False
Palanquin-Light.ttf,Palanquin,Devanagari,128,1246,11.984375,1.0,2,False,True,False,True,False
Palanquin-SemiBold.ttf,Palanquin,Devanagari,128,1246,11.984375,1.0,2,False,True,False,True,False
Palanquin-Medium.ttf,Palanquin,Devanagari,128,1246,11.984375,1.0,2,False,True,False,True,False
CascadiaCode[wght].ttf,Cascadia Code,Cyrillic,126,4319,2.142857142857143,1.162109375,4,True,False,True,True,True
CascadiaCode[wght].ttf,Cascadia Code,Arabic,277,4319,2.184115523465704,1.162109375,4,True,False,True,True,True
CascadiaCode-Italic[wght].ttf,Cascadia Code,Cyrillic,126,3076,1.2857142857142858,1.162109375,2,True,False,False,True,False
NotoSansTC[wght].ttf,Noto Sans TC Thin,Cyrillic,66,20950,5.5,1.0,2,False,False,True,True,False
NotoSansTC[wght].ttf,Noto Sans TC Thin,Katakana,112,20950,5.714285714285714,1.0,2,False,False,True,True,False
NotoSansTC[wght].ttf,Noto Sans TC Thin,Han,17739,20950,5.923840126275438,1.0,2,False,False,True,True,False
NTR-Regular.ttf,NTR,Telugu,94,709,2.0425531914893615,2.1201171875,2,False,True,False,True,False
YsabeauSC[wght].ttf,Ysabeau SC,Cyrillic,238,1247,1.7352941176470589,1.343,3,True,False,True,True,False
NotoSansSyriac[wght].ttf,Noto Sans Syriac,Arabic,30,604,1.8,1.412,4,True,False,True,True,True
SofiaSansSemiCondensed[wght].ttf,Sofia Sans Semi Condensed,Cyrillic,104,954,1.5769230769230769,1.2,3,True,False,True,True,False
SofiaSansSemiCondensed-Italic[wght].ttf,Sofia Sans Semi Condensed,Cyrillic,104,934,1.5769230769230769,1.2,3,True,False,True,True,False
CactusClassicalSerif-Regular.ttf,仙人掌明體,Cyrillic,150,58570,1.5866666666666667,1.0,2,False,False,True,True,False
CactusClassicalSerif-Regular.ttf,仙人掌明體,Katakana,112,58570,1.5714285714285714,1.0,2,False,False,True,True,False
CactusClassicalSerif-Regular.ttf,仙人掌明體,Han,54913,58570,1.5990749002968332,1.0,2,False,False,True,True,False
"NotoSerifDisplay[wdth,wght].ttf",Noto Serif Display,Cyrillic,304,3256,1.7401315789473684,1.362,3,False,False,True,True,True
"NotoSerifDisplay-Italic[wdth,wght].ttf",Noto Serif Display,Cyrillic,304,3268,1.7401315789473684,1.362,3,False,False,True,True,True
Ledger-Regular.ttf,Ledger,Cyrillic,94,452,1.0,1.391,0,False,False,False,False,False
Lemonada[wght].ttf,Lemonada,Arabic,239,827,2.1715481171548117,1.998,4,True,False,True,True,True
Rajdhani-Medium.ttf,Rajdhani,Devanagari,102,1100,2.6176470588235294,1.276,2,False,True,False,True,False
Rajdhani-SemiBold.ttf,Rajdhani,Devanagari,102,1100,2.6176470588235294,1.276,2,False,True,False,True,False
Rajdhani-Light.ttf,Rajdhani,Devanagari,102,1100,2.6176470588235294,1.276,2,False,True,False,True,False
Rajdhani-Bold.ttf,Rajdhani,Devanagari,102,1100,2.6176470588235294,1.276,2,False,True,False,True,False
Rajdhani-Regular.ttf,Rajdhani,Devanagari,102,1100,2.6176470588235294,1.276,2,False,True,False,True,False
Murecho[wght].ttf,Murecho Thin,Cyrillic,99,4656,1.2828282828282829,1.0,2,False,False,False,True,True
Murecho[wght].ttf,Murecho Thin,Katakana,112,4656,1.2857142857142858,1.0,2,False,False,False,True,True
Murecho[wght].ttf,Murecho Thin,Han,2346,4656,1.29923273657289,1.0,2,False,False,False,True,True
Kurale-Regular.ttf,Kurale,Cyrillic,182,1006,2.1868131868131866,1.478,3,False,True,True,True,False
Kurale-Regular.ttf,Kurale,Devanagari,154,1006,2.1948051948051948,1.478,3,False,True,True,True,False
CormorantGaramond[wght].ttf,Cormorant Garamond Light,Cyrillic,236,3241,1.5932203389830508,1.211,4,True,False,True,True,True
CormorantGaramond-Italic[wght].ttf,Cormorant Garamond Light,Cyrillic,236,1895,1.5932203389830508,1.211,4,True,False,True,True,True
JejuMyeongjo-Regular.ttf,JejuMyeongjo,Cyrillic,66,18315,1.0,1.0,0,False,False,False,False,False
JejuMyeongjo-Regular.ttf,JejuMyeongjo,Katakana,88,18315,1.0,1.0,0,False,False,False,False,False
JejuMyeongjo-Regular.ttf,JejuMyeongjo,Han,4888,18315,0.9451718494271686,1.0,0,False,False,False,False,False
AoboshiOne-Regular.ttf,Aoboshi One,Katakana,93,599,1.2795698924731183,1.0,1,False,False,True,False,False
"AdventPro[wdth,wght].ttf",Advent Pro,Cyrillic,182,642,1.1483516483516483,1.194,2,False,False,True,True,False
"AdventPro-Italic[wdth,wght].ttf",Advent Pro,Cyrillic,182,642,1.1483516483516483,1.194,2,False,False,True,True,False
Pattaya-Regular.ttf,Pattaya,Cyrillic,94,1171,6.212765957446808,1.3876953125,3,True,False,True,True,False
NewsCycle-Regular.ttf,News Cycle,Cyrillic,256,1566,1.1484375,1.64453125,1,False,False,True,False,False
RoundedMplus1c-Medium.ttf,Rounded Mplus 1c,Cyrillic,264,8546,2.1818181818181817,1.09,3,False,False,True,True,True
RoundedMplus1c-Medium.ttf,Rounded Mplus 1c,Katakana,112,8546,2.142857142857143,1.09,3,False,False,True,True,True
RoundedMplus1c-Medium.ttf,Rounded Mplus 1c,Han,4964,8546,2.1990330378726832,1.09,3,False,False,True,True,True
RoundedMplus1c-Light.ttf,Rounded Mplus 1c,Cyrillic,264,8546,2.1818181818181817,1.09,3,False,False,True,True,True
RoundedMplus1c-Light.ttf,Rounded Mplus 1c,Katakana,112,8546,2.142857142857143,1.09,3,False,False,True,True,True
RoundedMplus1c-Light.ttf,Rounded Mplus 1c,Han,4964,8546,2.1990330378726832,1.09,3,False,False,True,True,True
RoundedMplus1c-Bold.ttf,Rounded Mplus 1c,Cyrillic,264,8546,2.1818181818181817,1.09,3,False,False,True,True,True
RoundedMplus1c-Bold.ttf,Rounded Mplus 1c,Katakana,112,8546,2.142857142857143,1.09,3,False,False,True,True,True
RoundedMplus1c-Bold.ttf,Rounded Mplus 1c,Han,4964,8546,2.1990330378726832,1.09,3,False,False,True,True,True
RoundedMplus1c-Thin.ttf,Rounded Mplus 1c,Cyrillic,264,8546,2.1818181818181817,1.09,3,False,False,True,True,True
RoundedMplus1c-Thin.ttf,Rounded Mplus 1c,Katakana,112,8546,2.142857142857143,1.09,3,False,False,True,True,True
RoundedMplus1c-Thin.ttf,Rounded Mplus 1c,Han,4964,8546,2.1990330378726832,1.09,3,False,False,True,True,True
RoundedMplus1c-Regular.ttf,Rounded Mplus 1c,Cyrillic,264,8546,2.1818181818181817,1.09,3,False,False,True,True,True
RoundedMplus1c-Regular.ttf,Rounded Mplus 1c,Katakana,112,8546,2.142857142857143,1.09,3,False,False,True,True,True
RoundedMplus1c-Regular.ttf,Rounded Mplus 1c,Han,4964,8546,2.1990330378726832,1.09,3,False,False,True,True,True
RoundedMplus1c-Black.ttf,Rounded Mplus 1c,Cyrillic,264,8546,2.1818181818181817,1.09,3,False,False,True,True,True
RoundedMplus1c-Black.ttf,Rounded Mplus 1c,Katakana,112,8546,2.142857142857143,1.09,3,False,False,True,True,True
RoundedMplus1c-Black.ttf,Rounded Mplus 1c,Han,4964,8546,2.1990330378726832,1.09,3,False,False,True,True,True
RoundedMplus1c-ExtraBold.ttf,Rounded Mplus 1c,Cyrillic,264,8546,2.1818181818181817,1.09,3,False,False,True,True,True
RoundedMplus1c-ExtraBold.ttf,Rounded Mplus 1c,Katakana,112,8546,2.142857142857143,1.09,3,False,False,True,True,True
RoundedMplus1c-ExtraBold.ttf,Rounded Mplus 1c,Han,4964,8546,2.1990330378726832,1.09,3,False,False,True,True,True
WDXLLubrifontTC-Regular.ttf,WDXL 滑油字 TC,Cyrillic,66,15985,11.636363636363637,1.18,2,False,False,True,True,False
