script,exposure,support,diversity_index,complexity,similarity_S,exposure_per_font,cluster,tier,tier_rank
Cyrillic,2623937,293,0.6474647465656547,0.16671453377223366,0.8332854662277663,8955.416382252559,0,Well served,2
Katakana,434832,67,1.0,0.0,1.0,6490.0298507462685,0,Well served,2
Devanagari,192989,62,0.1660467166205963,0.846702131410983,0.153297868589017,3112.7258064516127,1,Underserved,1
Arabic,145526,54,0.3810796988932504,0.5405003316419505,0.4594996683580494,2694.925925925926,1,Underserved,1
Han,96340,29,0.7490574868560783,0.0018595633521542032,0.9981404366478458,3322.0689655172414,0,Well served,2
Bengali,23006,11,0.1552172817988672,0.6150251587877555,0.3849748412122444,2091.4545454545455,1,Underserved,1
Tamil,15721,17,0.0,0.290402500113919,0.709597499886081,924.7647058823529,1,Underserved,1
Telugu,12278,27,0.3582876497437442,0.43267437315016477,0.5673256268498352,454.74074074074076,1,Underserved,1
