script,tier,tier_rank,exposure,support,complexity,diversity_index,exposure_per_font
Devanagari,Underserved,1,192989,62,0.846702131410983,0.1660467166205963,3112.7258064516127
Arabic,Underserved,1,145526,54,0.5405003316419505,0.3810796988932504,2694.925925925926
Bengali,Underserved,1,23006,11,0.6150251587877555,0.1552172817988672,2091.4545454545455
Tamil,Underserved,1,15721,17,0.290402500113919,0.0,924.7647058823529
Telugu,Underserved,1,12278,27,0.43267437315016477,0.3582876497437442,454.74074074074076
Cyrillic,Well served,2,2623937,293,0.16671453377223366,0.6474647465656547,8955.416382252559
Katakana,Well served,2,434832,67,0.0,1.0,6490.0298507462685
Han,Well served,2,96340,29,0.0018595633521542032,0.7490574868560783,3322.0689655172414
