script,diversity_index,mean_cosine_distance,fonts_analyzed
Tamil,0.0,0.08212180435657501,32
Devanagari,0.35515912027013613,0.13778580725193024,99
Bengali,0.38132846343909405,0.14188732206821442,22
Telugu,0.554053753409883,0.16895851492881775,37
Arabic,0.5977537841002567,0.17580761015415192,90
Han,0.6022195757426633,0.17650753259658813,97
Cyrillic,0.6892350566973279,0.19014544785022736,100
Katakana,1.0,0.23885156214237213,99
