script,total_fonts_available,fonts_analyzed,glyphs_rendered,reference_chars_used,mean_cosine_distance,std_cosine_distance,embedding_spread,effective_dimensions,n_embeddings,diversity_index
Tamil,35,32,320,10,0.08212180435657501,0.10589634627103806,0.009512513875961304,7,32,0.0
Devanagari,216,99,990,10,0.13778580725193024,0.07503597438335419,0.012702462263405323,17,99,0.35515912027013613
Bengali,25,22,220,10,0.14188732206821442,0.07700657099485397,0.012447263114154339,7,22,0.38132846343909405
Telugu,38,37,370,10,0.16895851492881775,0.11325366050004959,0.013726521283388138,10,37,0.554053753409883
Arabic,126,90,892,10,0.17580761015415192,0.11402339488267899,0.014276879839599133,14,90,0.5977537841002567
Han,177,97,955,10,0.17650753259658813,0.09660161286592484,0.014313085936009884,11,97,0.6022195757426633
Cyrillic,777,100,1000,10,0.19014544785022736,0.14300093054771423,0.014958187006413937,16,100,0.6892350566973279
Katakana,200,99,990,10,0.23885156214237213,0.13249078392982483,0.016576165333390236,10,99,1.0
