script,font_count,median_expansion_ratio,median_vertical_footprint,median_friction_score,expansion_ratio_q25,expansion_ratio_q75,vertical_footprint_q25,vertical_footprint_q75,E_norm,V_norm,F_norm,complexity_C
Arabic,126,2.464442815249267,1.4965000000000002,4.0,2.0261485584293557,4.083333333333333,1.2,1.66,0.29682076030818727,0.6402998382928564,1.0,0.5405003316419505
Bengali,25,3.119565217391304,1.617,3.0,2.130434782608696,4.428571428571429,1.362,1.619,0.48596371105785685,0.795699899751646,0.6666666666666666,0.6150251587877555
Cyrillic,773,1.5934065934065933,1.2,2.0,1.4090909090909092,3.4545454545454546,1.128,1.3,0.045340486285368166,0.25792541320960966,0.3333333333333333,0.16671453377223364
Devanagari,216,4.9,1.5514999999999999,3.0,3.078125,8.902439024390244,1.4,1.662,1.0,0.7112293269254987,0.6666666666666666,0.8467021314109829
Han,177,1.4492453388576503,1.0,1.0,1.1499404407385347,2.1990330378726832,1.0,1.09,0.0037191267043085014,0.0,0.0,0.0018595633521542507
Katakana,200,1.4363636363636363,1.0,1.0,1.1480657640232108,2.142857142857143,1.0,1.09,0.0,0.0,0.0,0.0
Latin,3828,1.4489795918367347,1.25,2.0,1.1488673139158576,2.1823899371069184,1.196822265625,1.3790283203125,0.003642401842626852,0.32240676651201217,0.3333333333333333,0.16520989754158372
Tamil,35,1.6944444444444444,1.482,2.0,1.5555555555555556,2.466666666666667,1.31,1.662,0.07451151939340916,0.6216002458351594,0.3333333333333333,0.29040250011391905
Telugu,38,1.8936170212765957,1.77541796875,2.0,1.8936170212765957,1.978494623655914,1.622,1.888,0.13201541296699615,1.0,0.3333333333333333,0.4326743731501647
