script,complexity_C,median_expansion_ratio,median_vertical_footprint,median_friction_score,font_count
Arabic,0.5405003316419505,2.464442815249267,1.4965000000000002,4.0,126
Bengali,0.6150251587877555,3.119565217391304,1.617,3.0,25
Cyrillic,0.16671453377223364,1.5934065934065933,1.2,2.0,773
Devanagari,0.8467021314109829,4.9,1.5514999999999999,3.0,216
Han,0.0018595633521542507,1.4492453388576503,1.0,1.0,177
Katakana,0.0,1.4363636363636363,1.0,1.0,200
Latin,0.16520989754158372,1.4489795918367347,1.25,2.0,3828
Tamil,0.29040250011391905,1.6944444444444444,1.482,2.0,35
Telugu,0.4326743731501647,1.8936170212765957,1.77541796875,2.0,38
