script,diversity_index,mean_cosine_distance,fonts_analyzed,reference_chars,glyphs_rendered
Tamil,0.0,0.05419524013996124,34,93,2974
Bengali,0.15521728179886723,0.07707072049379349,24,91,2013
Devanagari,0.16604671662059634,0.07866673171520233,100,101,9947
Telugu,0.3582876497437442,0.10699865221977234,37,90,3279
Arabic,0.3810796988932504,0.11035767942667007,99,90,7833
Cyrillic,0.6474647465656547,0.14961674809455872,100,99,9243
Han,0.7490574868560783,0.16458919644355774,97,88,7990
Katakana,1.0,0.20157238841056824,99,90,8819
