script,total_fonts,fonts_analyzed,reference_chars,glyphs_rendered,mean_cosine_distance,std_cosine_distance,embedding_spread,effective_dimensions,n_embeddings,diversity_index
Tamil,35,34,93,2974,0.05419524013996124,0.07636245340108871,0.007624385412782431,5,34,0.0
Bengali,25,24,91,2013,0.07707072049379349,0.04232793301343918,0.00917306449264288,6,24,0.15521728179886723
Devanagari,216,100,101,9947,0.07866673171520233,0.05972973257303238,0.009540620259940624,11,100,0.16604671662059634
Telugu,38,37,90,3279,0.10699865221977234,0.0893392413854599,0.010770137421786785,7,37,0.3582876497437442
Arabic,126,99,90,7833,0.11035767942667007,0.08311555534601212,0.01122874766588211,11,99,0.3810796988932504
Cyrillic,777,100,99,9243,0.14961674809455872,0.12498409301042557,0.01319047063589096,14,100,0.6474647465656547
Han,177,97,88,7990,0.16458919644355774,0.09079587459564209,0.013736451976001263,9,97,0.7490574868560783
Katakana,200,99,90,8819,0.20157238841056824,0.11484819650650024,0.015224154107272625,10,99,1.0
